name,address,type,unit
Elevate Bar & Lounge Inc,527 Westney Rd S Ajax ON L1S 4N7,,durham
Elias Naan and Kabob,B114-20 Broadleaf Ave Whitby ON L1R 0B5,,durham
Endivine Grill & Bar,73 King St E Bowmanville ON L1C 1N4,,durham
Fair Havens Riverside Dining Room,B-B2215 Highway 48 Beaverton ON L0K 1A0,,durham
Family Wok,21 Simcoe St N Oshawa ON L1G 4R7,,durham
Fat Bastard Burrito,2-491 Gibb St Oshawa ON L1J 6K6,,durham
Fine Taste,16A-75 Bayly St W Ajax ON L1S 7K7,,durham
Fine Taste Hakka Chinese Restaurant,125-3050 Garden Street Whitby ON L1R 2G7,,durham
Fionn MacCools,36 Kingston Rd E Ajax ON L1Z 1G1,,durham
Fionn MacCool's,2350 Highway 2 Bowmanville ON L1C 3K7,,durham
Fionn MacCool's,214 Ritson Rd N Oshawa ON L1G 0B2,,durham
First Choice Fish & Chips,13-570 Westney Rd S Ajax ON L1S 6V5,,durham
Fisherman Family Restaurant,3341 Highway 35/115 Newcastle ON L1B 1L9,,durham
Five Star Restaurant,965 Dundas St W Whitby ON L1P 1A1,,durham
Flavours,1-605 Kingston Rd W Ajax ON L1S 6L9,,durham
Food Time,4 &5-1660 Kingston Rd Pickering ON L1V 5R2,,durham
Food Time Restaurant,101B-3555 Thickson Rd Whitby ON L1R 1Z6,,durham
Food Village,15-1801 Dundas St E Whitby ON L1N 7C5,,durham
Footprints Resto,17-375 Kingston Rd Pickering ON L1V 1A3,,durham
Forever Fresh Coffee & Donut,363 Wilson Rd S Oshawa ON L1H 6C6,,durham
Forum Drive-in Restaurant,580 Ritson Rd S Oshawa ON L1H 5K8,,durham
Forum Restaurant,3420 Hwy 35 / 115 Newcastle ON,,durham
Foundry Kitchen & Bar,56 Water St Port Perry ON L9L 1J2,,durham
Fox & the Goose Sports Bar & Grill,799 Park Rd S Oshawa ON L1J 4K1,,durham
Frantastic Cafe,28-2020 Wentworth St Whitby ON L1N 9A8,,durham
Frosty John's Pub & Restaurant,7 8 & 9-100 Mearns Ave Bowmanville ON L1C 3K5,,durham
Garry's Mr. Jerk Chicken,4A-1121 Dundas St E Whitby ON L1N 2K5,,durham
General Pub And Grill,21 Celina St Oshawa ON L1H 4M9,,durham
Genesys Caribbean Fusion,114 Athol Ave Whitby ON L1N 3Y9,,durham
Giorgios Casual/Fine Dining,15 Cameron St E Cannington ON L0E 1E0,,durham
Glen Cedars Golf Course,230 Seventh Concession Rd Claremont ON L1Y 1A2,,durham
Go Go Pizza & Subs,355 Bloor St W Oshawa ON L1J 5Y5,,durham
Golden Gate Eatery & Takeout,1A-1300 King St E Oshawa ON L1H 8J4,,durham
Golden Pine Chinese Food Restaurant,2 Glenabbey Dr Courtice ON L1E 1C1,,durham
Golden Star Restaurant,306 Simcoe St Beaverton ON L0K 1A0,,durham
Goldie's Cafe + Eatery,19-75 Bayly St W Ajax ON L1S 7K7,,durham
Good Pho You,17-235 Bayly St W Ajax ON L1S 3K3,,durham
Goreski's Landing - D & D's Lakeside Restaurant,225 Platten Blvd Port Perry ON L9L 1B4,,durham
Gourmet Kobo Japanese Cuisine,5-512 Kingston Rd Pickering ON L1V 1A6,,durham
Grace Kitchen,5-1050 Simcoe St N Oshawa ON L1G 4W5,,durham
Granite Golf Club,2699 York-Durham Rd 30 Uxbridge ON L4A 7X4,,durham
Great Canadian Bagel,19-105 Bayly St W Ajax ON L1S 7K7,,durham
Greek Tycoon Restaurant,1101 Brock St S Whitby ON L1N 4M1,,durham
Greek Zone,280 Rossland Rd E Ajax ON L1Z 0K4,,durham
Greenbank Restaurant,19990 Highway 12 Greenbank ON L0C 1B0,,durham
Gryphon Pub,105-114 Dundas St E Whitby ON L1N 2H7,,durham
Hai Thai & Vietnamese Cuisine,3-701 Dundas St W Whitby ON L1N 2N3,,durham
Hakka Fusion,3-1670 Kingston Rd Pickering ON L1V 5R1,,durham
Hakka Legend Asian Cuisine,A8-A9-81 Middlecote Dr Ajax ON L1T 0K3,,durham
Hakka Passion,314 Harwood Ave S Ajax ON L1S 2J1,,durham
Hakka Pavilion Chinese Restaurant,75 Williamson Dr W Ajax ON L1T 0K9,,durham
Halibut House,1070 Simcoe St N Oshawa ON L1G 4W3,,durham
Halibut House,1820 Scugog St Port Perry ON L9L 1H8,,durham
Halibut House Fish & Chips,288 Bloor St W Oshawa ON L1J 1P9,,durham
Halibut House Fish & Chips,118-2377 Highway 2 Bowmanville ON L1C 5A3,,durham
Halibut House Fish & Chips,1559 Victora St E Whitby ON L1N 9M4,,durham
Halibut House Fish & Chips,408 King St W Oshawa ON L1J 2K8,,durham
Halibut House Fish & Chips,106/107-4 Banff Rd Uxbridge ON L9P 1S9,,durham
Halibut House Fish & Chips,B1-B2-1101 Kingston Rd Pickering ON L1V 1B5,,durham
Halibut House Fish & Chips Inc.,11 & 12-85 Kingston Rd E Ajax ON L1S 7J4,,durham
Halibut King Fish & Chips,12-1123 Dundas St E Whitby ON L1N 2K4,,durham
Halibut Time,6-1645 Dundas Street East Whitby ON L1N 2K9,,durham
Halibut Time Fish & Chips,16-15 Westney Rd N Ajax ON L1T 1P5,,durham
Halibut Town Fish & Chips And Grill House,24 Simcoe St N Oshawa ON L1H 8C1,,durham
Hank's Pastries,204 Queen St Port Perry ON L9L 1B9,,durham
Hardy John's,1-50 Taunton Rd. E Oshawa ON L1G 3T7,,durham
Hardy John's,368 Bayly St W Ajax ON L1S 1P1,,durham
Harmony Creek Golf Centre,1000 Bloor St E Oshawa ON L1H 8S1,,durham
Harp And Crown Pub,9-11-300 Kingston Rd Pickering ON L1V 6Y9,,durham
