name,address,type,unit
Pizza Pizza,603 Colborne St E. Brantford ON N3S 7S8,,brant
Pizza Pizza,225 Fairview Dr. Brantford ON N3R 7E3,,brant
Pizzaville,10-320 Colborne St W Brantford ON N3T 1M2,,brant
Players Indoor Golf & Sports Bar,3-49 Dalkeith Dr. Brantford ON N3P 1M1,,brant
Popeyes Louisiana Kitchen,F1/F2-50 Market Street South Brantford ON N3S 2E3,,brant
Popeye's Louisiana Kitchen,213 King George Rd Brantford ON N3R 6S8,,brant
Quesada Burritos & Tacos,175 Lynden Rd. Brantford ON N3P1N6,,brant
Red Lobster,67 King George Rd Brantford ON N3R 5K2,,brant
Riverbend Grillhouse,57 Princess St. Glen Morris ON N0B 1W0,,brant
Roxy's Tap and Grill,214 King George Rd. Brantford ON N3R 5L4,,brant
Sai Thai Kitchen,3-250 King George Road Brantford ON N3R 5S5,,brant
Sammy's Creamery,75 Erie Ave. Brantford ON N3S 2G1,,brant
Sammy's Rec Room,10 Mt. Pleasant St. Brantford ON N3T 1S5,,brant
Sam's Grill,B2-61 Lynden Road Brantford ON N3R 7J9,,brant
Scott's Family Restaurant,74 Scott Ave Paris ON N3L 3R1,,brant
Serenity Country Candles,44 Holme Street Brantford ON N3T 4Z7,,brant
Shanghai Restaurant,907 Colborne St E. Brantford ON N3L 3T3,,brant
Sharkey's Billiards & Bar,8&9-603 Colborne ST Brantford ON,,brant
Shawarmania,156 Market Street Brantford ON N3T 3A4,,brant
Sherwood Restaurant,799 Colborne St E. Brantford ON N3S 3S3,,brant
Shoeless Joe's Bar and Grill,107-300 King George Rd Brantford N3R 5L8,,brant
"Sip ""N"" Dine",18 Market Street Brantford ON N3T 2Z4,,brant
Skyway Cafe,110 Aviation Avenue Brantford ON N3T 5L7,,brant
Sociable Kitchen and Tavern,45 King George Rd Brantford ON N3R 5K2,,brant
Soulfull Kafe,81 Brant Ave. Brantford ON N3T 3H2,,brant
Speekezzies Cafe & Wine Bar,415D Fairview Dr Brantford ON N3R 7M3,,brant
Spices on Sydenham,159 Sydenham St Brantford ON N3R 3Z1,,brant
St. George Arms,24 Main St S St. George ON N0E 1N0,,brant
Stacked Pancake & Breakfast House,102B-265 King George Road Brantford ON N3R 5L5,,brant
Star Lanes,144 Mary St Brantford ON N3S 3B9,,brant
Starbucks,E1-218 Henry Street Brantford ON N3S0E3,,brant
Starbucks Coffee,"72 Dundas Street, East Paris ON",,brant
Starbucks Coffee,15-320 Colborne St W Brantford ON N3T 5L1,,brant
Steve's Place,87 Grand River St. North Paris ON N3L 2M3,,brant
Stillwater's Plate & Pour,61 Grand River St N. Paris ON N3L 2M3,,brant
Stop 53 Diner,1365 A Colborne St E. Brantford ON N3T 5L4,,brant
Stromboli's Sandwich & Pizza,113 1/2 King George Rd. Brantford ON N3R 5K7,,brant
Subway,1084 Rest Acres Rd Unit #16 Paris ON N3L 0B5,,brant
Subway,271 Grand River St N. Paris ON N3L 2N3,,brant
Subway,C5-230 Shellard Lane Brantford ON N3T 5L5,,brant
Subway,50 Market St S Brantford ON N3S 2E3,,brant
Subway,10-225 Fairview Dr Brantford ON N3R 7E3,,brant
Subway - KGR,206 King George Rd Brantford ON N3R 5L3,,brant
Subway - Lynden Rd.,61 Lynden Rd Brantford ON N3R 7J9,,brant
Subway Restaurant,603 Colbrone St E Brantford ON N3S 7S8,,brant
Sunnyside Grill,106-39 King George Rd Brantford ON N3R 5K2,,brant
Sunset Grill,Unit C#2-50 Market St S Brantford ON N3S 2E3,,brant
Sunset Grill,E2-218 Henry Street Brantford ON N3S 7R4,,brant
Sushi Eight,103A-265 King George Road Brantford ON N3R 6Y1,,brant
Swiss Chalet,82 Dundas St.E Paris ON N3L 3H5,,brant
Swiss Chalet,84 Lynden Rd Brantford ON N3R 6B8,,brant
Symposium Cafe,58 King George Rd Brantford ON N3R 5K4,,brant
Taal Fine Indian Cuisine,578 Colborne Street East Brantford ON N3S 3P6,,brant
Taco Bell,68 King George Rd. Brantford ON N3R5K4,,brant
The Blue Dog Cafe,199 Brant Ave Brantford ON N3T 3J1,,brant
The Campers Den- Lyons Little Austria,137 6th Conc. Burford ON N0E 1A0,,brant
The Chinese Sisters,"120 Colborne Street, Unit 102 Brantford ON N3T 2G6",,brant
The Cobblestone Public House,111 Grand River St. N. Paris ON N3L 2M4,,brant
The Dragon Sports Bar & Grill,14 Main Street South St. George ON N0E 1N0,,brant
The Everest Grill,781 Colborne St E. Brantford ON N3S 3S3,,brant
The Exchange Cafe,94 Tutela Heights County Of Brant ON N3T 1A1,,brant
