name,address,type,unit
Great Lakes Pizza,3020 Hwy 69 N Val Caron ON P3N 1R8,restaurant,sudbury
Green Acres Tent & Trailer Park,10944 Hwy 6 Sheguiandah ON P0P 1K0,restaurant,sudbury
Green Bay Lodge,463 Green Bay Rd Noëlville ON P0M 2N0,restaurant,sudbury
Green Wilderness Lodge,"Lot 12 Green Wilderness Camp Rd, Emerald Township Gogama ON P0M 1W0",restaurant,sudbury
Gus's Restaurant,336 Elm St Sudbury ON P3C 1V8,restaurant,sudbury
Happy Yummy,481 Centre Street Espanola ON P5E 1T5,restaurant,sudbury
Hardrock 42 Gastropub,117 Elm St W Sudbury ON P3C 1T3,restaurant,sudbury
Harvey's,2169 Regent St Sudbury ON P3E 5R2,restaurant,sudbury
Harvey's,1324 Lasalle Blvd Sudbury ON P3A 1Y8,restaurant,sudbury
Herbert Fisheries,1942 Regent St Sudbury ON P3E 5V5,restaurant,sudbury
Herc's Greek Eatery Inc.,875 Notre Dame Ave Sudbury ON P3A 2T2,restaurant,sudbury
Hilton Garden Inn,475 Barry Downe Rd Sudbury P3A 3T4,restaurant,sudbury
Holiday Inn (Restaurant),1696 Regent St Sudbury ON P3E 3Z8,restaurant,sudbury
Horwood Lake Lodge - Penhorwood Peninsula,Penhorwood Peninsula Foleyet ON P0M 1T0,restaurant,sudbury
HSN NEORCC - Tim Hortons (Restaurant #102688),41 Ramsey Lake Rd Sudbury ON P3E 5J1,restaurant,sudbury
Huron Island Time Restaurant,24 Mutchmore St Providence Bay ON P0P 1T0,restaurant,sudbury
Huron Sands Motel - Restaurant,5216 Highway 551 Providence Bay ON P0P 1T0,restaurant,sudbury
Hurry Curry,1528 Lasalle Blvd Sudbury ON P3A 1Z7,restaurant,sudbury
Idylwylde Country Club,400 Walford Rd Sudbury ON P3E 2G9,restaurant,sudbury
Ivanhoe River Inn,Ivanhoe Lake Foleyet ON P0M 1T0,restaurant,sudbury
J & L Lakeview Retreat,48 Minisinakwa Lake Rd Gogama ON P0M 1W0,restaurant,sudbury
Jak's Diner,1100 Barrydowne Rd Sudbury ON P3A 3V3,restaurant,sudbury
JD Southern Smokehouse,1-1543 Paris Street Sudbury ON P3E 3B7,restaurant,sudbury
J's Roadhouse Bar & Grill,830 Barrydowne Rd Sudbury ON P3A 4S4,restaurant,sudbury
J's Roadhouse Bar + Grill,3045 Highway 69 North Val Caron Ontario P3N 1R8,restaurant,sudbury
Jube's Bar & Grill,39 Balsam St Copper Cliff ON P0M 1N0,restaurant,sudbury
Kate's Kountry Kitchen,8130 Hwy 17 Warren ON P0H 2N0,restaurant,sudbury
Kelly's Family Diner,Hwy 144 Cartier ON P0M 1J0,restaurant,sudbury
Kelsey's,1425 Kingsway Blvd Sudbury ON P3A 4R7,restaurant,sudbury
Key Harbour Lodge,Site #1 Comp #16 RR#1 Britt ON P0G 1A0,restaurant,sudbury
KFC,1657 Main St W Val Caron ON P3N 1R8,restaurant,sudbury
KFC,1341 Martindale Rd Sudbury ON P3E 4J7,restaurant,sudbury
KFC,383 Centre St Espanola ON P5E 1E4,restaurant,sudbury
KFC,405 Cote Ave Chelmsford ON P0M 1L0,restaurant,sudbury
Killarney Bay Inn - Staff Housing Kitchen,2000 Noble St Killarney ON P0M 2A0,restaurant,sudbury
Killarney Mountain Lodge,3 Commissioner St Killarney ON P0M 2A0,restaurant,sudbury
King Pin Restaurant - Plaza Bowl,1799 Garden St Sudbury ON P3A 5E7,restaurant,sudbury
Kings Buffet,1051 Kingsway Blvd Sudbury ON P3B 2E6,restaurant,sudbury
Kinhao Sushi,2040 Algonquin Rd Sudbury ON P3E 4Z6,restaurant,sudbury
Kitchen Table,1200 Paris Street Sudbury ON P3E 5V4,restaurant,sudbury
Kuppajo Espresso Bar,109 Larch St Sudbury ON P3E 4T5,restaurant,sudbury
La Casa Mexicana,2-49 Elgin St Sudbury ON P3E 3N1,restaurant,sudbury
Lakair Lodge,8219 Hwy 64 Monetville ON P0M 2K0,restaurant,sudbury
Lake Obabika Lodge,P.O. Box 1 River Valley ON P0H 2C0,restaurant,sudbury
Lakeland Lodge,15 Marine Landing Skead ON P0M 2Y0,restaurant,sudbury
Laughing Buddha,194 Elgin St Sudbury ON P3E 3N5,restaurant,sudbury
Laurentian University - Alphonse Raymond - Tim Hortons (Restaurant #106292),935 Ramsey Lake Rd Sudbury ON P3E 2C6,restaurant,sudbury
Laurentian University - Arts Building - Tim Hortons (Restaurant #100479),935 Ramsey Lake Rd Sudbury ON P3E 2C6,restaurant,sudbury
Laurentian University - Quesada Burritos & Tacos,935 Ramsey Lake Road Sudbury ON P3E 2C6,restaurant,sudbury
Laurentian University - Starbucks,935 Ramsey Lake Rd Sudbury ON P3E 2C6,restaurant,sudbury
Little Montreal,182 Elgin St Sudbury ON P3E 3N5,restaurant,sudbury
Lively Golf & Country Club,305 A Sixth Ave Lively ON P3Y 1M4,restaurant,sudbury
Long Du Restaurant,2121 Long Lake Rd Sudbury ON P3E 5H2,restaurant,sudbury
Lot 88 Steakhouse,1070 Kingsway Blvd Sudbury ON P3B 2E5,restaurant,sudbury
Lucky's Too?,403 Hwy 17 Walford ON P0P 2E0,restaurant,sudbury
M & R Grill,7 Young St Capreol ON P0M 1H0,restaurant,sudbury
M.I.C. Canadian Eatery & Whisky Pub,200 Falconbridge Rd Sudbury ON P3A 5K3,restaurant,sudbury
