name,address,type,unit
"BAKE SHOP ON MAIN, THE","#7-89 Main St,  CAMBRIDGE ON N1R 1V6",,waterloo
BAKED JUST SWEET,"#212 Mitchell St,  Ayr ON N0B 1E0",,waterloo
BAKE-HURRY,"#104-141 Whitney Pl,  Kitchener ON N2G",,waterloo
BAKIN' ME CRAZY,"#2-3692 NAFZIGER RD,  WELLESLEY ON N0B 2T0",,waterloo
BAKIN' US KETO,"#2-3692 NAFZIGER RD,  WELLESLEY ON N0B 2T0",,waterloo
BALTAZ CORNER'S ESSO,"#2267 NEW DUNDEE RD,  North Dumfries ON N0B 2E0",,waterloo
BALZAC'S COFFEE ROASTERS,"#17-151 Charles ST W,  KITCHENER ON N2G 1H6",,waterloo
BANDA LIRA DE FATIMA CLUB,"#12 OXFORD ST,  CAMBRIDGE ON N1R 1M2",,waterloo
BANGKOK CUISINE,"#2-1500 WEBER ST E,  KITCHENER ON N2A 2Y5",,waterloo
BANH MI GIVRAL DELI,"#102-210 KING ST E,  KITCHENER ON N2J 2L1",,waterloo
BANKSIDE TERRACE,"#71 BANKSIDE DR,  KITCHENER ON N2N 3L1",,waterloo
BAO SANDWICH BAR,"#B106-62 BALSAM ST,  WATERLOO ON N2L 3H2",,waterloo
BAR BURRITO,"#H2-569 Fairway Rd S,  Kitchener ON N2C 1X4",,waterloo
BAR BURRITO,"#E4-123 Pioneer Dr,  Kitchener ON N2P 2A3",,waterloo
BAR BURRITO,"#H3-584 Weber st N,  WATERLOO ON N2V 2K4",,waterloo
BAR BURRITO FRESH MEXICAN GRILL,"#3-205 THE BOARDWALK,  KITCHENER ON N2N 0B1",,waterloo
BARBURRITO,"#102-541 Hespeler Rd,  Cambridge ON N1R 6J2",,waterloo
BARBURRITO,"#550 King St N,  Waterloo ON N2L 5W6",,waterloo
BARBURRITO FRESH MEXICAN GRILL,"#B-10-1400 Ottawa St S,  KITCHENER ON",,waterloo
"BARGAIN SHOP, THE","#44 Arthur St S,  ELMIRA ON N3B 2M7",,waterloo
BARLEY WORKS (HUETHER HOTEL),"#61 KING ST N,  WATERLOO ON N2J 2X2",,waterloo
BARNACLE BILL'S,"#47 GRAND AVE S,  CAMBRIDGE ON N1S 2L7",,waterloo
BARNSWALLOW PLACE CARE COMMUNITY,"#120 BARNSWALLOW DR,  ELMIRA ON N3B 2Y9",,waterloo
BARRIE'S ASPARAGUS,"#1236 Kings Rd,  NORTH DUMFRIES ON N1R 5S3",,waterloo
BASKIN ROBBINS,"#425 HESPELER RD,  CAMBRIDGE ON N1R 6J2",,waterloo
BASKIN ROBBINS,"#370 HIGHLAND RD W,  KITCHENER ON N2M 5G2",,waterloo
BASKIN ROBBINS,"#117-94 BRIDGEPORT RD E,  WATERLOO ON N2J 2J9",,waterloo
BATL-CLUTCH CATERING,"#69 Agnes St,  KITCHENER ON",,waterloo
"BAUER BUTCHER, THE","#150 Caroline ST S,  WATERLOO ON N2L 0A5",,waterloo
"BAUER KITCHEN, THE","#102-187 King ST S,  WATERLOO ON N2J 1R1",,waterloo
BBT,"#35-170 UNIVERSITY Ave W,  WATERLOO ON N2L 3E9",,waterloo
BEAVERDALE GOLF COURSE,"#1171 KOSSUTH RD,  WOOLWICH ON N3C 2V3",,waterloo
BEAVERTAILS KITCHENER WATERLOO MOBILE,"#66 Moorefield St,  Cambridge N1T 1S1",,waterloo
BEBORA STORE,"#408 KING ST E,  KITCHENER ON N2G 2L5",,waterloo
BEECHWOOD MANOR,"#305 ERB ST W,  WATERLOO ON N2L 1W4",,waterloo
