name,address,unit,group
Iron Bridge Recreation Centre Kitchen - Restaurant,1 Chiblow Lake Rd Iron Bridge ON P0R 1H0,algoma,treatment
Island Bar and Grill - Restaurant,3117 Marks St Hilton Beach ON P0R 1G0,algoma,treatment
JC Sakura - Japanese and Thai Restaurant - Restaurant,150 Churchill Blvd. Sault Ste. Marie ON P6A 3Z9,algoma,treatment
Johnny's Chophouse - Restaurant,180 Bay St Sault Ste Marie ON,algoma,treatment
Joseph's Homestead - Restaurant,89 Anderson Rd Goulais River ON P0S 1E0,algoma,treatment
Kathy's Brew Haha - Restaurant,126-Ontario Ave Elliot Lake ON,algoma,treatment
KFC - Restaurant,161 Trunk Rd Sault Ste. Marie ON P6A 3S5,algoma,treatment
KFC/Taco Bell - Restaurant,389 Great Northern Rd Sault Ste. Marie ON P6B 4S8,algoma,treatment
Kinniwabi Pines Restaurant - Restaurant,Highway 17 S Wawa ON P0S 1K0,algoma,treatment
La Spicy Grill - Restaurant,523 Queen St. East Sault Ste Marie ON P6A 2A1,algoma,treatment
Lai's Restaurant - Restaurant,27 Broadway Ave Wawa ON P0S 1K0,algoma,treatment
Lakeview Restaurant - Restaurant,28 Broadway Avenue Wawa ON P0S 1K0,algoma,treatment
Lani Kai - Restaurant,11382 Highway 17 N Batchawana ON P0S 1A0,algoma,treatment
Laurentian Lodge - Restaurant,P.O. Box 141 Elliot Lake ON P5A 2J6,algoma,treatment
Lifespring Kotikirkko Camp (Heyden Finnish Camp) - Restaurant,37 AB Cameron Road Heyden ON P6A 0A4,algoma,treatment
LOL!! Resto Bar - Restaurant,275 Chemin du Lac Dubreuilville ON P0S 1B0,algoma,treatment
Low & Slow Smoked Fusion BBQ - Restaurant,648 Queen St E Sault Ste Marie ON P6A 2A4,algoma,treatment
Lucey Loo's Restaurant - Restaurant,3159 Hwy 17 B Echo Bay ON P0S 1C0,algoma,treatment
Lucky Garden - Restaurant,25-Hawkins St Blind River ON P0R 1B0,algoma,treatment
Lychee Thai Restaurant - Restaurant,280 Queen St E Sault Ste. Marie ON,algoma,treatment
Maple Restaurant - Restaurant,180 Ontario St Elliot Lake ON P5A 1Y4,algoma,treatment
Marconi Society Restaurant - Restaurant,450 Albert Street W Sault Ste. Marie ON P6A 1C3,algoma,treatment
McDonald's - Restaurant,Highway 108 N Elliot Lake ON P5A 2J5,algoma,treatment
McDonald's - Restaurant,371 Great Northern Rd Sault Ste. Marie ON P6B 4Z8,algoma,treatment
McDonald's 40023 - Restaurant,673 Trunk Rd Sault Ste. Marie ON P6A 3T1,algoma,treatment
McDonald's Walmart - Restaurant,446 Great Northern Rd Sault Ste. Marie ON P6B 4Z9,algoma,treatment
Melwel Lodge - Restaurant,435 Melwel Road Iron Bridge ON P0R1H0,algoma,treatment
Michipicoten Golf Club - Restaurant,Mission Road Wawa ON P0S 1K0,algoma,treatment
Misty's 50's - Restaurant,658 Second Line W Sault Ste. Marie ON P6C 2K9,algoma,treatment
Montana's BBQ and Bar - Restaurant,89 Foster Dr Sault Ste Marie ON P6A 5X6,algoma,treatment
Moose Tracks Cafe - Sunset Shores - Restaurant,10243 Highway 17 N Batchawana ON P0S 1A0,algoma,treatment
Mount Dufour Ski Area - Restaurant,10 Ski Hill Rd Elliot Lake ON P5A 2J6,algoma,treatment
Mountainview Lodge - Restaurant,4280 Highway 556 Searchmont ON P0S1J0,algoma,treatment
Mr. Submarine - Restaurant,255 Trunk Rd Sault Ste. Marie ON P6A 3S7,algoma,treatment
Muio's Restaurant - Restaurant,685 Queen St E Sault Ste. Marie ON P6A 2A6,algoma,treatment
Mulligan's Irish Pub - Restaurant,1804 Queen St E Sault Ste. Marie ON P6A 2G8,algoma,treatment
Mum's Place - Restaurant,4 Prince Edward Walk Elliot Lake ON P5A 2Z7,algoma,treatment
Mustang's Grill - Restaurant,24 Woodward Ave Blind River ON P0R 1B0,algoma,treatment
New York Fries - Restaurant,293 Bay St Sault Ste. Marie ON P6A 1X3,algoma,treatment
Normandy Lodge - Restaurant,Kabenung Lake Dahl Wawa ON P0S 1K0,algoma,treatment
North 82 Steak & Beverage - Restaurant,82 Great Northern Rd Sault Ste. Marie ON P6B 4Y5,algoma,treatment
North of 17 Restaurant - Restaurant,68 Broadway Ave Wawa ON P0S 1K0,algoma,treatment
