name,address,type,unit
Boston Pizza,27 Young St Alliston ON L9R 1B5,,simcoe
Boston Pizza,438 Holland Street W Bradford ON L3Z 0G1,,simcoe
Boston Pizza,10 Depot Dr Bracebridge ON P1L 0A1,,simcoe
Boston Pizza,D-16835 Highway 12 Midland ON L4R 0A9,,simcoe
Boston Pizza,3300 Monarch Drive Orillia ON L3V 8A2,,simcoe
Bounty Fish & Chips,18 Colborne St W Orillia ON L3V 2Y3,,simcoe
Bourbon,31 Bayfield St Barrie ON L4M 3A6,,simcoe
Bowlerama Barrie,M2-320 Bayfield St Barrie ON L4M 3C1,,simcoe
Bozco's,50 Coldwater Rd Coldwater ON L0K 1E0,,simcoe
Bracebridge Barrel House,15-295 Wellington Street Bracebridge P1P 1P3,,simcoe
Bracebridge Golf Club,1255 Muskoka Rd 117 Bracebridge ON P1L 1W9,,simcoe
Bradford Caribbean Cuisine,176 Holland St W Bradford West Gwillimbury ON L3Z 1J2,,simcoe
Bradford Highland Golf Club,23 Brownlee Drive Bradford ON L3Z 2A4,,simcoe
Bradford Tic-Tac Sports Bar & Grill,26 Holland St W Bradford ON L3Z 2B8,,simcoe
Break Time,61 Missassaga St E Orillia ON L3V 1V4,,simcoe
Breakaway Sports Bar,6015 Highway 89 Alliston ON L9R 1A4,,simcoe
"Breakfast Club, The",1-6048 Highway 9 New Tecumseth ON L0G 1T0,,simcoe
"Breakfast House, The",1-359 Bayfield Street Barrie ON L4M 3C3,,simcoe
Brewery Bay Food Company,117 Mississaga St E Orillia ON L3V 1V6,,simcoe
Brgrz,316 Hume St Collingwood ON L9Y 1W3,,simcoe
Brick N Fire,310-300 Holland Street W Bradford ON L3Z 1J2,,simcoe
British Arms,29 Dunlop St E Barrie ON L4M 1A2,,simcoe
British Cuisine Fish and Chips,7-1256 Mosley St Wasaga Beach ON L9Z 2E2,,simcoe
Brooklea Golf & Country Club,8567 Highway 93 Midland ON L4R 4K4,,simcoe
Brunello,27 Fourth St E Collingwood ON L9Y 1T2,,simcoe
Bruno's Bakery & Cafe,8-808 Innisfil Beach Rd Alcona ON L9S 2C3,,simcoe
Bspoke Kitchen and Market,55 Collier St Barrie ON L4M 1G7,,simcoe
Buffalo Wild Wings,139 Park Place Boulevard Barrie ON L4N 6B1,,simcoe
"Bull & Barrel Pub, The",901-75 Cedar Pointe Dr Barrie ON L4N 5R7,,simcoe
Burger Barr,2-505 King Street Midland ON L4R 3N5,,simcoe
Burger Boyz,50 Mosley St Wasaga Beach ON L9Z 2P6,,simcoe
Burger King,C-43 Beach Drive Wasaga Beach ON L9Z 2K2,,simcoe
Burger King,269 Memorial Ave Orillia ON L3V 5X9,,simcoe
