Facility Name,Site Address,Facility Type,Last Inspection Date
Caesars Windsor - Neros,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),04-Oct-2019
Caesars Windsor - Spago Trattoria,377 Riverside Dr E Windsor ON N9A 7H7,Restaurant (Full Service),09-Mar-2020
Coco Paradise Bar and Restaurant,5 Nelson St Leamington ON N8H 1G6,Restaurant (Full Service),17-Nov-2020
Colasanti Tropical Garden,1550 3rd Conc E Ruthven ON N0P 2G0,Restaurant (Full Service),10-Dec-2020
Comfort Inn Suites,2330 Huron Church Rd Windsor ON N9E 3S6,Restaurant (Full Service),11-Mar-2020
Cooper Court Hotel,561 Broadway St Belle River ON N0R 1A0,Restaurant (Full Service),15-Jan-2020
Cooper's Hawk Vineyards,1425 Iler Rd Harrow ON N0R 1G0,Restaurant (Full Service),11-Oct-2019
Cora's Breakfast,4328 Walker Rd Windsor ON N8W 3T5,Restaurant (Full Service),29-Oct-2020
Cotta Food Bar,3891 Dougall Windsor ON N9G 1X3,Restaurant (Full Service),24-Nov-2020
Cozy Corner Restaurant,3714 Manning Rd Tecumseh ON N0R 1K0,Restaurant (Full Service),08-Jul-2020
Crabby Joe's,346 Talbot St N Essex ON N8M 2W4,Restaurant (Full Service),10-Dec-2020
Cramdon's Tap & Eatery,15-2950 Dougall Ave Windsor ON N9E 1S6,Restaurant (Full Service),21-Aug-2020
Crave,26 Erie St N Leamington ON N8H 2Z3,Restaurant (Full Service),26-Sep-2019
Crew,108 County Road 50 East Harrow ON N0R 1G0,Restaurant (Full Service),16-Nov-2020
Daawat Indian Cuisine,2440 University Ave W Windsor ON N9B 1E9,Restaurant (Full Service),09-Nov-2020
Daniela Cafe,770 Erie Street East Windsor ON N9A 3Y2,Restaurant (Full Service),
Danielle's Soft Ice Cream & More,357 Queen St Harrow ON N0R 1G0,Restaurant (Full Service),04-Nov-2020
Deb's Place,1387 Grand Marais Rd W Windsor ON N9E 1E3,Restaurant (Full Service),03-Nov-2020
Deluxe Restaurant,51 Talbot St N Essex ON N8M 1A3,Restaurant (Full Service),22-Oct-2019
Devolli's Famous Omelettes,5275 Walker Rd Oldcastle ON N0R 1L0,Restaurant (Full Service),10-Feb-2020
Devon House Restaurant,72 Talbot St E Leamington ON N8H 1L3,Restaurant (Full Service),14-Oct-2020
Dockside on the Cove,466 Tisdelle Dr Tilbury ON N0P 2L0,Restaurant (Full Service),10-Jan-2020
Dominion Golf Restaurant,6125 Howard Ave Oldcastle ON N0R 1L0,Restaurant (Full Service),23-Jul-2020
Dominion House,3140 Sandwich St Windsor ON N9C 1A6,Restaurant (Full Service),27-Oct-2020
Donna Mae's Diner,107-215 Eugenie St W Windsor ON N8X 2X7,Restaurant (Full Service),30-Sep-2020
Double D's Cafe,85 Talbot Rd E Leamington ON N8H 1L4,Restaurant (Full Service),13-Sep-2019
Dragon Inn,2240 Wyandotte St W Windsor ON N9B 1K2,Restaurant (Full Service),17-Nov-2020
Driftwood Taps&Eats,2744 Cty Rd 42 Cottam ON N0R 1B0,Restaurant (Full Service),
Dumpling Time,405-650 Division Road Windsor ON,Restaurant (Full Service),03-Dec-2020
