Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result
Balena Grill & Restaurant,E4 & 5-5618 Tenth Line W Mississauga ON L5M 7L9,Restaurant,2020-02-28,
Bamboo Legend Restaurant,10B-3145 Dundas St W Mississauga ON L5L 5V8,Restaurant,2020-08-20,
Bamiyan Kabob,8-5120 Dixie Rd Mississauga ON L4W 4K2,Restaurant,2020-12-22,
Bamiyan Kabob,105-106-2970 Drew Rd Mississauga ON L4T 0A6,Restaurant,2019-10-24,
Banty's Roost Golf Club - Sand Trap Restaurant,12600 Bramalea Rd Caledon ON L7C 2P3,Restaurant,2019-09-19,
Bar 4 U,12 & 14-35 King St E Mississauga ON L5A 4E2,Restaurant,2019-10-24,
Bar B Q Tonite,5-5165 Dixie Rd Mississauga ON L4W 4G1,Restaurant,2020-02-27,
Bar Be Q Tonite,35 Dundas St W Mississauga ON,Restaurant,2020-02-24,
Bar Burrito,14A-40 Bristol Rd E Mississauga ON L4Z 3K8,Restaurant,2020-01-29,
Bar Burrito,C-48 Peel Centre Dr Brampton ON L6T 0E2,Restaurant,2020-10-15,
Bar Catalina,231 Lakeshore Rd E Mississauga ON L5G 1G8,Restaurant,2021-01-12,
BarBQ Kitchen,104-10095 Bramalea Rd Brampton ON L6R 0K1,Restaurant,,
BarBurrito,7-334 Queen St S Bolton ON L7E 4Z8,Restaurant,2019-12-09,
BARBURRITO,103-2933 Queen St E Brampton ON L6T 5J1,Restaurant,2020-01-14,
barBurrito,15 Montpelier St Brampton ON,Restaurant,2020-02-10,
Barburrito,17B-660 Eglinton Ave W Mississauga ON L5R 3V2,Restaurant,2020-02-21,
barBurrito,3-2116 Burnhamthorpe Rd W Mississauga ON L5L 5Z5,Restaurant,2020-09-25,
Barburrito Fowler,D105-1900 Fowler Dr Mississauga ON L5K 1T7,Restaurant,2020-03-13,
Bashu Chinese Restaurant,7A-4559 Hurontario St Mississauga ON L4Z 3L9,Restaurant,2019-10-09,
Baskin Robbins,J206-6590 Meadowvale Town Centre Cir Mississauga ON L5N 4B7,Restaurant,2020-02-25,
Baskin Robbins,5-20 Brisdale Dr Brampton ON L7A 3G1,Restaurant,2019-07-31,
Baskin Robbins,66-7070 St Barbara Blvd Mississauga ON L5W 0E6,Restaurant,2019-11-19,
Baskin Robbins,3-4099 Erin Mills Pky Mississauga ON L5L 3P9,Restaurant,2020-01-29,
Baskin Robbins,203C-25 Peel Centre Dr Brampton ON L6T 3R5,Restaurant,2019-09-10,
Baskin Robbins # 5061,11-660 Eglinton Ave W Mississauga ON L5R 3V2,Restaurant,2019-09-18,
Bawarchi Indian Cuisine,22-488 Eglinton Ave W Mississauga Ontario L5R 0G2,Restaurant,2020-11-17,
Bayview Garden Restaurant,32-1675 The Chase Mississauga ON L5M 5A7,Restaurant,2019-07-26,
BB Lounge,14-5035 Hurontario St Mississauga ON L4Z 3X7,Restaurant,2019-10-08,
