Facility Name,Site Address,Facility Type,Last Inspection Date
Little Caesars Pizza,1835 Regent St Sudbury ON P3E 3Z7,Food Take Out,05-Feb-20
Little Guys Pizza Co.,"93 Notre Dame West Azilda, On P0M 1B0",Food Take Out,25-Sep-20
Little Pizza Shop,19-155 Regional Road 24 Lively ON P3Y 1J1,Food Take Out,15-Oct-20
Loco Beanz Coffee House,7 Water St E Little Current ON P0P 1K0,Food Take Out,04-Feb-21
M & D's Poutine Palace,1492 Paris Street Sudbury ON P3E 3B8,Food Take Out,17-Jun-20
Maja's,6152 King St Mindemoya ON P0P 1S0,Food Take Out,09-Jul-20
Manitoulin Homemade Ice Cream,15898 Hwy 6 Manitowaning ON P0P 1N0,Food Take Out,25-Jun-20
Marble Slab,1486 Lasalle Blvd Sudbury ON P3A 1Z7,Food Take Out,16-Oct-20
Marche Azilda Market,9 Notre Dame St E Azilda ON P0M 1B0,Food Take Out,11-Dec-20
Metro,3140 Hwy 69 N Val Caron ON P3N 1G3,Food Take Out,17-Dec-20
Metro - Take Out,900 Lasalle Blvd Sudbury ON P3A 5W8,Food Take Out,21-Jan-21
Miss Muggins / KFC / Pizza Hut,48 Mill St Chapleau ON P0M 1K0,Food Take Out,27-Nov-20
Miss Muggins 2,101 Pine St E Chapleau ON P0M 1K0,Food Take Out,22-Oct-20
Moon Bento Sushi,82 Lorne St Sudbury ON P3C 4N8,Food Take Out,26-Jun-20
Moonlight Beach Concession,Moonlight Beach Rd Sudbury ON P3B,Food Take Out,11-Aug-20
Moonlight Inn & Suites,350 Moonlight Ave Sudbury ON P3B 3W3,Food Take Out,24-Sep-19
Mr. Sub,40 Elm St Sudbury ON P3C 1S8,Food Take Out,04-Aug-20
Munchie Express,3183 Errington Ave Chelmsford ON P0M 1L0,Food Take Out,08-Dec-20
Neil's Your Independent Grocer,5200 Hwy 69 N Hanmer ON P3P 1Z3,Food Take Out,15-Sep-20
Neil's Your Independent Grocer - Produce Counter,5200 Hwy 69 N Hanmer ON P3P 1Z3,Food Take Out,15-Sep-20
New York Fries,112-1349 Lasalle Blvd Sudbury ON P3A 1Z2,Food Take Out,05-Oct-20
Nexus Pizza,1349 Lasalle Blvd Sudbury ON,Food Take Out,05-Nov-20
Nickel City Cheese Poutinerie,3888 Regional Road 15 Chelmsford ON P0M 1L0,Food Take Out,21-Aug-20
Noelville CO-OP Foodland,10 Notre Dame Ave W Noëlville ON P0M 2N0,Food Take Out,15-Oct-20
Northland Motel,3150 Errington Avenue Chelmsford ON P0M 1L0,Food Take Out,02-Aug-19
Obejewung Chip Stand,225 Wolsey Lake Rd Evansville ON P0P 1E0,Food Take Out,09-Jul-20
Oly's Little Red Chip Wagon,50 St David St N Noëlville ON P0M 2N0,Food Take Out,22-May-19
Pam's Deli,5085 Hwy 69 N Hanmer ON P3P 1P7,Food Take Out,09-Oct-20
Papaya Pops,9 Main Street East Chelmsford ON P0M 1L0,Food Take Out,
Pita Pit,3555 Hwy 144 Chelmsford ON P0M 1L0,Food Take Out,03-Dec-20
Pita Pit,3140 Hwy 69 N Val Caron ON P3N 1G3,Food Take Out,10-Dec-20
Pizza Forno,82 Ignatius Street Sudbury ON P3C 5G3,Food Take Out,26-Oct-20
Pizza Forno,7 Cote Blvd Hanmer ON P3P 1X5,Food Take Out,16-Dec-20
Pizza Forno,33 Notre Dame West Azilda ON P0M 1B0,Food Take Out,26-Nov-20
Pizza Joint,1500 Paris Street Sudbury ON P3E 3B8,Food Take Out,03-Dec-19
Pizza Pazzaz,3183 Errington Ave Chelmsford ON P0M 1L0,Food Take Out,10-Nov-20
Pizza Pizza,52 Elm St Sudbury ON P3C 1S7,Food Take Out,25-Jan-21
PizzaForno,84 Elgin St Sudbury ON P3E 3N3,Food Take Out,14-Nov-19
Pizzeria Roma,1894 Lasalle Blvd Sudbury ON,Food Take Out,26-Nov-20
Poirier's Clover Farm,130 Sable Street Massey Ontario P0P 1P0,Food Take Out,21-Jan-21
Poirier's Confectionery & Pizza,355 Imperial St S Massey ON P0P 1P0,Food Take Out,02-Sep-20
Purdy's Chocolatier,13B-1349 Lasalle Blvd Sudbury ON P3A 3V9,Food Take Out,05-Nov-20
Real Canadian Superstore - Deli / Food Take Out,1485 Lasalle Blvd Sudbury ON P3A 5H7,Food Take Out,20-Jan-21
Real Canadian Superstore - Produce Counter,1485 Lasalle Blvd Sudbury ON P3A 5H7,Food Take Out,20-Jan-21
Regency Bakery - Azzurri Cafe,1355 Regent St Sudbury ON P3E 3Z1,Food Take Out,29-Sep-20
