Facility Name,Site Address,Community,Facility Type
Chop Box,87A-320 Bayfield St Barrie ON L4M 3C1,Barrie,Food Take Out
Ciao Burger & Shawarma,2-91 Beach Dr Wasaga Beach ON L9Z 2K2,Wasaga Beach,Food Take Out
Ciao Pizza Expresso and Gelato Ltd.,A-B-41 Beach Dr Wasaga Beach ON L9Z 2K2,Wasaga Beach,Food Take Out
CiaoChowCiao,8626 Highway 12 W Oro-Medonte ON L3V 0K1,Orillia,Food Take Out
Ciboulette at the Hive,18 Frank Lane Honey Harbour ON P0E 1E0,Honey Harbour,Food Take Out
Cineplex Cinemas North Barrie,507 Cundles Rd E Barrie ON L4M 0G9,Barrie,Food Take Out
Circle K,369-Bayfield St Barrie ON L9P 2J5,Barrie,Food Take Out
Circle Theatre,19 Victoria Street E Alliston ON L9R 1T3,Alliston,Food Take Out
CK Chinese Food,2-7 Glenwood Dr Barrie ON L4N 1R3,Barrie,Food Take Out
Classique Espresso Bar,34 Queen Street North Totteham ON L0G 1W0,Tottenham,Food Take Out
Cocelli Pizza,8-241 Essa Rd Barrie ON L4N 6B7,Barrie,Food Take Out
Coffee Time,7117 Highway 26 Stayner ON L0M 1S0,Stayner,Food Take Out
Coldwater & District Community Centre,11 Michael Anne Dr Coldwater ON L0K 1E0,Coldwater,Food Take Out
Coldwater Bowling Centre,19 Michael Anne Dr Coldwater ON L0K 1E0,Coldwater,Food Take Out
Collingwood East End Variety,256 Ontario St Collingwood ON L9Y 1M9,Collingwood,Food Take Out
Comfort Inn,75 Hart Dr Barrie ON L4N 5M3,Barrie,Food Take Out
Comfort Inn & Suites,210 Essa Road Barrie ON L4N 3L1,Barrie,Food Take Out
Cool Cones,149 Mississaga Street East Orillia ON L3V 1B6,Orillia,Food Take Out
Coriander Kitchen To Go,2-115 First St Collingwood ON L9Y 1Y5,Collingwood,Food Take Out
Costco,625 University Ave Orillia ON L3V 0Y7,Orillia,Food Take Out
Costco,41 Mapleview Dr Barrie ON L4N 9A9,Barrie,Food Take Out
Couchiching Park Concession Stand,140 Canice St Orillia ON L3V 4H9,Orillia,Food Take Out
Country Produce,301 Westmount Dr N Orillia ON L3V 6Y4,Orillia,Food Take Out
Country Style,6802 County Road 10 Baxter ON L9R 1V2,Baxter,Food Take Out
Country Style,5949 Highway 89 Alliston ON L0L 1L0,Alliston,Food Take Out
Country Style,90 Mapleview Dr Barrie ON L4N 9G4,Barrie,Food Take Out
Country Style,430 Pine St Waubaushene ON L0K 2C0,Waubaushene,Food Take Out
Country Style,1382 Killarney Beach Rd Lefroy ON L0L 1W0,Lefroy,Food Take Out
Country Style,2371-25 Sideroad Innisfil ON L9S 2G3,Innisfil,Food Take Out
Country Style,39 Main St E Beeton ON L0G 1A0,Beeton,Food Take Out
Country Style,661 Atherley Road Orillia ON L3V 1P1,Orillia,Food Take Out
Country Style,2303 Hwy 11 S Gravenhurst ON P1P 1R1,Gravenhurst,Food Take Out
Country Style,480 Huronia Rd Barrie ON L4N 6M2,Barrie,Food Take Out
Country Style,2692 Highway 12 Brechin ON L0K 1B0,Brechin,Food Take Out
Country Style,300 First St Collingwood ON L9Y 1B1,Collingwood,Food Take Out
Court House Cafe,14 Worsley St Barrie ON L4M 1M1,Barrie,Food Take Out
"Cove Fish & Chips, The",902 Lockhart Rd Innisfil ON L9S 4V2,Innisfil,Food Take Out
Crave the Chocolatier,62 Hurontario St Collingwood ON L9Y 2L6,Collingwood,Food Take Out
Creative Bean,6-750 Big Bay Point Rd Barrie ON L4M 4S6,Barrie,Food Take Out
Creemore Community Centre,220 Collingwood St Creemore ON L0M 1G0,Creemore,Food Take Out
CupCAKE,3-70 Essa Rd Barrie ON L4N 3K7,Barrie,Food Take Out
Currie's Farm Market,756 Sixth Street Collingwood ON L9Y 3Y9,Collingwood,Food Take Out
D & D Meats,77 Victoria St W Alliston ON L9R 1T2,Alliston,Food Take Out
Dags & Willow,25 Second St Collingwood ON L9Y 1E4,Collingwood,Food Take Out
Dairy Queen,115-320 Bayfield St Barrie ON L4M3C1,Barrie,Food Take Out
Dairy Queen,C003-509 Bayfield St Barrie ON L4M 4Z8,Barrie,Food Take Out
David's Tea,NO13-509 Bayfield St Barrie ON L4M 4Z8,Barrie,Food Take Out
Deb's Dips,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
Delta Bingo & Gaming,13-175 Main St Penetanguishene ON L9M 1L8,Penetanguishene,Food Take Out
Diner On The Run,320 Bayfield St Barrie ON L4M 3C1,Barrie,Food Take Out
Dino's 2 4 1 Pizza,6-157 Bayfield St Barrie ON L4M 3B4,Barrie,Food Take Out
Din's,2876 Highway 60 Dwight Ontario P0A 1H0,Dwight,Food Take Out
Dixie Lee Restaurant,40A-2 Poyntz Street Penetanguishene ON L9M 1M2,Penetanguishene,Food Take Out
DJ's Grill and Deserts,353 Duckworth Street Barrie ON L4M 5C2,Barrie,Food Take Out
Dog-it Poutine,2-4 High St Collingwood ON L9Y 4Y7,Collingwood,Food Take Out
Domino's Pizza,6-490 Mapleview Dr W Barrie ON L4N 6C3,Barrie,Food Take Out
Domino's Pizza,38 Holland Street W Bradford ON L3Z 2B6,Bradford,Food Take Out
Domino's Pizza,107-827 Big Bay Point Rd Barrie ON L4N 0G5,Barrie,Food Take Out
Domino's Pizza,5-205 Memorial Ave Orillia ON L3V 5X8,Orillia,Food Take Out
Domino's Pizza,7-8-1441 Mosley St Wasaga Beach ON L9Z 2B9,Wasaga Beach,Food Take Out
Domino's Pizza,195 Wellington St Bracebridge ON P1L 1C2,Bracebridge,Food Take Out
Domino's Pizza,741 Yonge St Midland ON L4R 2E1,Midland,Food Take Out
Domino's Pizza,1-290 Hurontario Street Collingwood ON L9Y 2M3,Collingwood,Food Take Out
Dragon Wok,D5-636 Yonge St Barrie ON L4N 4E6,Barrie,Food Take Out
Dragon Wok,8-221 Cundles Rd E Barrie ON L4M 6L5,Barrie,Food Take Out
Drysdale's Tree Farm - Halloween House,6635 County Rd 56 Egbert ON L0L 1N0,Egbert,Food Take Out
Drysdale's Tree Farm - Santa's House,6635 County Rd 56 Egbert ON L0L 1N0,Egbert,Food Take Out
Drysdale's Tree Farm - The Emporium,6635 County Rd 56 Egbert ON L0L 1N0,Egbert,Food Take Out
Drysdale's Tree Farm - The Hot Dog House,6635 County Rd 56 Egbert ON L0L 1N0,Egbert,Food Take Out
Dutch Treats,15 Holland St E Bradford ON L3Z 2B3,Bradford,Food Take Out
East Bayfield Community Centre,80 Livingstone St E Barrie ON L4M 6X9,Barrie,Food Take Out
Eddie Bush Arena - Snack Bar,97 Hurontario Street Collingwood L9Y 4H5,Collingwood,Food Take Out
Eden Grill,13 Young Street Alliston ON L9R 1B5,Alliston,Food Take Out
Edible Arrangements,10-7 Anne St S Barrie ON L4N 2C4,Barrie,Food Take Out
"Elden of Bradford, The",3131 8th Line Bradford ON L3Z 4H2,Bradford,Food Take Out
Elmvale Jungle Zoo,14191 County Rd 27 Elmvale ON L0L 1P0,Elmvale,Food Take Out
Enzo's Pizzaria,26 Queen St S Tottenham ON L0G 1W0,Tottenham,Food Take Out
Essa Township Recreation Centre,8527 County Rd 10 Angus ON L0M 1B2,Angus,Food Take Out
European Fine Food & Deli,11 Cundles Rd W Barrie ON L4N 1R1,Barrie,Food Take Out
Eva's Deli,1-680 Huronia Rd Barrie ON L4N 6C6,Barrie,Food Take Out
Evguine's Smoke Meat,2207 Industrial Park Rd Innisfil ON L9S 3V9,Innisfil,Food Take Out
Feta & Olives,F010-509 Bayfield St Barrie ON L4M 4Z8,Barrie,Food Take Out
Finest Fitness,46 Lennox Dr Barrie ON L4N 9V8,Barrie,Food Take Out
Finn's Fresh Cut Fries,135 Queen St W Elmvale ON,Elmvale,Food Take Out
Firehouse Pizza Inc.,9 Mill St E Tottenham ON L0G 1A0,Tottenham,Food Take Out
First Choice Chicken & Fish,8-477 Grove Street E Barrie ON L4M 6M3,Barrie,Food Take Out
Food Basics,555 Essa Rd Barrie ON L4N 6A9,Barrie,Food Take Out
Foodland,2202 Highway 12 S Brechin ON L0K 1B0,Brechin,Food Take Out
Foodland,178 John St Victoria Harbour ON L0K 2A0,Victoria Harbour,Food Take Out
Foodland,1-52 Queen Street W Cookstown ON L0L 1L0,Cookstown,Food Take Out
Foodland,110-2 Poyntz Street Penetanguishene ON L9M 1M2,Penetanguishene,Food Take Out
Foodland,14 Yonge Street N Elmvale ON L0L 1P0,Elmvale,Food Take Out
Foodland,77 Coldwater Rd Coldwater ON L0K 1E0,Coldwater,Food Take Out
Foodland,80 Fittons Rd E Orillia ON L3V 6H9,Orillia,Food Take Out
Foodland,795 Balm Beach Road E Midland ON L4R 4K4,Midland,Food Take Out
Foodland,8056 Yonge St Stroud ON L9S 1L6,Stroud,Food Take Out
Forever Besteas,6-222 Mapleview Drive West Barrie ON L4N 9E7,Barrie,Food Take Out
Fork in the Road,2-6 Bay Street Baysville ON P0B 1A0,Baysville,Food Take Out
Four Cedars Cafe & Convenience,1605 George Johnston Rd Minesing ON L0L 1Y0,Minesing,Food Take Out
Fox in the Hen House,"11 Cann Street Huntsville, Ont P1H 1K3",Huntsville,Food Take Out
Frankies Surf Club,1320 Peninsula Road Port Sandfield ON P0B 1J0,Port Sandfield,Food Take Out
Freddies,320 Yonge Street Barrie ON L4N 4C8,Barrie,Food Take Out
