Facility Name,Site Address,Community,Facility Type
Burrito Boyz,8873 Highway 11 N Severn ON L3V 6H8,Severn,Restaurant
"Butcher's Daughters, The",260 Muskoka Road South Gravenhurst ON P1P 1J2,Gravenhurst,Restaurant
Butter Chicken Roti,975 West Ridge Blvd Orillia ON L3V 8A3,Orillia,Restaurant
C W Coops,6-2 Massey Street Angus ON L0M 1B0,Angus,Restaurant
C.W. Coop's,808 Innisfil Beach Road Alcona ON L9S 2C3,Alcona,Restaurant
Cafe Beans,B-21 Essa Rd Barrie ON L4N 3K4,Barrie,Restaurant
Cafe Coco,7306 Highway 26 Stayner ON L0M 1S0,Stayner,Restaurant
Cafe Kittyhawk,4 Robert St W Penetanguishene ON,Penetanguishene,Restaurant
Cafe Seoulista,2A-575 West St S Orillia ON L3V 7N6,Orillia,Restaurant
California Sandwiches Barrie,108A-75 Barrie View Drive Barrie ON L4N 8V4,Barrie,Restaurant
Campbell's British Foods & Tea Room,18-274 Burton Ave Barrie ON L4N 5W4,Barrie,Restaurant
Canadian Maple Pub,3282 Ogden's Beach Rd Midland ON L4R 4K3,Midland,Restaurant
Canadiana Country Club & Golf Course,6469 9th Line New Tecumseth ON L0G 1A0,New Tecumseth,Restaurant
Canton Restaurant,4-1179 Bayfield St N Midhurst ON L0L 1X1,Midhurst,Restaurant
Captain George's Fish & Chips,6-237 Mapleview Dr E Barrie ON L4N 0W5,Barrie,Restaurant
Captain Ken's,70 Main Street Penetanguishene ON L9M 1T4,Penetanguishene,Restaurant
Captain Robert's Table,93 Jury Drive Penetanguishene ON L9M 1G1,Penetanguishene,Restaurant
Captains Grill Diner,1287 Madison St Severn ON L3V 0V1,Severn,Restaurant
Carey's Pub,469 Bethune Dr N Gravenhurst ON P1P 1B8,Gravenhurst,Restaurant
Carnegie Cafe,526 Hugel Ave Midland ON L4R 1V7,Midland,Restaurant
Casa Cappuccino,91 Dunlop St E Barrie ON L4M 1A6,Barrie,Restaurant
Casa Mia Restaurant,88 Dunlop St W Barrie ON L4N 1A6,Barrie,Restaurant
Casano's Italian Foods,49 Anne St S Barrie ON L4N 4Y8,Barrie,Restaurant
Cast Iron Restaurant,2635 Muskoka Rd 117 Baysville ON P0B 1A0,Baysville,Restaurant
Castle Blue,3047 Highway 169 Bala ON P0C 1A0,Bala,Restaurant
Catch 22 Fresh Market Grill,962 Mosley St Wasaga Beach ON L9Z 2G8,Wasaga Beach,Restaurant
Cedar Grove Lodge,167 Grassmere Resort Rd Huntsville ON P1H 2K5,Huntsville,Restaurant
Cedar Kitchen,5 Queen St S Tottenham ON L0G 1W0,Tottenham,Restaurant
Cellarman's Ale House,337 King Street Midland ON L4R 3M7,Midland,Restaurant
Chafresh,2-3-130 Bell Farm Road Barrie ON L4M 6J4,Adjala-Tosorontio,Restaurant
Champ Burger,4-70 Victoria St E Alliston ON L9R 1R2,Alliston,Restaurant
Chaopaya Thai Restaurant,168 Dunlop St E Barrie ON L4M 1B3,Barrie,Restaurant
Charlie's Diner,7423 Highway 26 Stayner L0M 1S0,Stayner,Restaurant
Cheesy Pickup The,42 Mississaga St W Orillia ON L3V 3A8,Orillia,Restaurant
Chef Henrie's Cafe and Bistro,339 High St MacTier ON P0C 1H0,MacTier,Restaurant
Cherville Japanese Restaurant,3-60 Main Street West Beeton ON L0G 1A0,Beeton,Restaurant
Chez Michel,150 Mill St. Creemore ON L0M 1G0,Creemore,Restaurant
Chilli Pistols 77,77 Victoria St E Alliston ON L9R 1L5,Alliston,Restaurant
Chillz Dessert Lounge,89 Dunlop St E Barrie ON L4M 1A7,Barrie,Restaurant
China Garden,382 Holland Street W Bradford ON L3Z 2B6,Bradford,Restaurant
China Garden Chinese Cuisine,A-33 Young St Alliston ON L9R 1B5,Alliston,Restaurant
China House Restaurant,B-96 Main St E Huntsville ON P1H 1H1,Huntsville,Restaurant
China House Restaurant,390 Muskoka Road N Gravenhurst ON P1P 1G3,Gravenhurst,Restaurant
China Inn Restaurant,13A-8056 Yonge St Stroud ON L9S 1L6,Stroud,Restaurant
China Wok,4-86 Young Street Alliston ON L9R 1P8,Alliston,Restaurant
"Chipper at Sunset, The",35 St Lawrence Street Collingwood ON L9Y 0W7,Collingwood,Restaurant
"Chopped Leaf, The",547 Cundles Rd E Barrie ON L4M 0G9,Barrie,Restaurant
"Chopsticks, The",4-7380 Highway 26 Stayner ON L0M 1S0,Stayner,Restaurant
Chuck's Roadhouse,5-707 River Road W Wasaga Beach ON L9Z 1N7,Wasaga Beach,Restaurant
Chuck's Roadhouse,68 King William St Huntsville ON P1H 1G3,Huntsville,Restaurant
Chuck's Roadhouse Bar and Grill,125 Highway 118 W Bracebridge ON P1L 1T2,Bracebridge,Restaurant
Chuck's Roadhouse Bar and Grill,11-450 Holland St W Bradford ON L3Z 0G1,Bradford,Restaurant
Chuck's Roadhouse Bar and Grill,2-173 Mill Street Angus ON L0M 1B2,Angus,Restaurant
Cicco's Ristorante,1-170 Prince William Way Barrie ON L9J 0G7,Barrie,Restaurant
Cicco's Ristorante,1630 George Johnston Rd Minesing ON L0L 1Y0,Minesing,Restaurant
Clear Lake Brewing Comapny,4651 Southwood Rd Torrance ON P0C 1M0,Torrance,Restaurant
Clevelands House,1040 Juddhaven Rd Minett ON P0B 1G0,Minett,Restaurant
Cocina Mexicana,D-144 Burton Ave Barrie ON L4N 2R8,Barrie,Restaurant
Coffee Culture Café & Eatery,1-36 Young St Alliston ON L9R 1P8,Alliston,Restaurant
Coffee Culture Café & Eatery,501-494 Big Bay Point Rd Barrie ON L4N 3Z4,Barrie,Restaurant
Coffee Culture Café & Eatery,7268 Highway 26 Stayner ON L0M 1S0,Stayner,Restaurant
Coffee Time,8483 Highway 11 N Orillia ON L3V 6H3,Orillia,Restaurant
Coffee Time Eggsmart,1040 Innisfil Beach Rd Alcona ON L9S 2M5,Alcona,Restaurant
Colborne Chinese Buffet,72 Colborne Street W Orillia ON L3V 2Y7,Orillia,Restaurant
Coldwater Grill House,12738 County rd 16 Fesserton ON L0K 2C0,Fesserton,Restaurant
Coldwater Ice Cream,32 Coldwater Rd Coldwater ON L0K 1E0,Coldwater,Restaurant
Collette's Kitchen,104-121 Wellington Street W Barrie ON L4N 1L2,Barrie,Restaurant
Com Pho Asia 2,11-221 Cundles Rd E Barrie ON L4M 6L5,Barrie,Restaurant
Com Pho Asia 3,D2-31 Commerce Park Dr Barrie ON L4N 8X1,Barrie,Restaurant
Comfort Inn,86 King William St. Huntsville ON P1H 1E4,Huntsville,Restaurant
Common Good Cafe & Social House,500-85 Bayfield St Barrie ON L4M 3A7,Barrie,Restaurant
