Facility Name,Site Address,Last Inspection Date,Facility Type
Druxy's - Rouge Valley Health Systems,580 Harwood Ave S Ajax ON L1S 2J4,26-Aug-20,Food Take Out
Durham College - Tim Hortons Galleria - Gordon Willey Building,2000 Simcoe St N Oshawa ON L1G 0C5,,Food Take Out
Durham College - CFCE Building - Market @ Durham,2000 Simcoe St. N Oshawa ON L1H7L7,12-Mar-20,Food Take Out
Durham College - Country Style Bistro,2000 Simcoe St N Oshawa ON L1H 7L7,03-Dec-19,Food Take Out
Durham College - Student Centre #2 - Grill House/Booster Juice,2000 Simcoe St N Oshawa ON L1G 0C5,12-Mar-20,Food Take Out
Durham College - Tim Hortons B-Wing - Gordon Willey Building,2000 Simcoe St N Oshawa ON L1H 7K4,09-Sep-20,Food Take Out
Durham College - Tim Hortons C-Wing - Gordon Willey Building,2000 Simcoe St N Oshawa ON L1H 7K4,,Food Take Out
Durham College - Whitby Tim Hortons,1610 Champlain Ave Whitby ON L1N 9B2,,Food Take Out
Durham College - Whitby Tim Hortons Self-Serve,1610 Champlain Ave Whitby ON L1N 9B2,,Food Take Out
Durham Courthouse - Tim Horton's,150 Bond St E Oshawa ON L1H 1B6,26-Aug-19,Food Take Out
Durham East Junior Farmers Food Booth,2 Princess St Orono ON L0B 1M0,23-Sep-19,Food Take Out
Edible Arrangements,4-1298 Kingston Rd Pickering ON L1V 3M9,30-Jul-19,Food Take Out
Edo Japan,7A-1355 Kingston Rd Pickering ON L1V 1B8,30-Jan-20,Food Take Out
Estacion Filipino Food,19A-282 Monarch Ave Ajax ON L1S 2G6,24-Jan-20,Food Take Out
European Gourmet Deli,4-575 Thornton Rd N Oshawa ON L1K 1J9,21-Dec-20,Food Take Out
Extreme Pita,307 Toronto St S Uxbridge ON L9P 0B4,05-Mar-20,Food Take Out
Extreme Pita,"B-1 Paisley Crt, Whitby ON L1N 9L2",06-Nov-19,Food Take Out
Extreme Pita,K3.3-2316 Highway # 2 Bowmanville ON L1C 0K5,14-Nov-19,Food Take Out
Fat Bastard Burrito,4A-726 Kingston Rd Pickering ON L1V 1A8,12-Feb-21,Food Take Out
Fat Bastard Burrito,7-1888 Scugog St Port Perry ON L9L 1H6,03-Oct-19,Food Take Out
Fat Bastard Burrito,1608 Dundas St E Whitby ON L1N 2K8,12-Feb-20,Food Take Out
Fat Bastard Burrito,1800 Simcoe St N Oshawa ON L1G 4X9,17-Jul-20,Food Take Out
Fat Bastard Burrito Co,4-1403 HWY 2 Courtice ON L1E 2J6,06-Feb-20,Food Take Out
FGF Vegan,4-8 Midtown Dr Oshawa ON L1J 3Z7,10-Feb-21,Food Take Out
Firehouse Subs,L04-372 Taunton Rd E Whitby ON L1R 0H4,19-Oct-20,Food Take Out
Firehouse Subs,C2.4-224 Ritson Rd N. Oshawa ON L1G 0B2,21-Jan-20,Food Take Out
Firehouse Subs,A4A-170 Kington Rd E Ajax ON L1Z 0C7,06-Feb-21,Food Take Out
Five Guys Burgers and Fries,100-575 Laval Dr Oshawa ON L1J 6L8,12-Feb-21,Food Take Out
Five Guys Burgers and Fries,130 Kingston Rd E Ajax ON L1Z 1G1,01-Nov-19,Food Take Out
Frantastic Events Cafe,1530 Dundas St E Whitby ON L1N 2K7,29-Oct-19,Food Take Out
Free Topping Pizza,210 King St E Bowmanville ON L1C 1P3,12-Feb-21,Food Take Out
Free Topping Pizza,10-14500 Simcoe St Port Perry ON L9L 1V4,27-Feb-20,Food Take Out
Free Topping Pizza,3-1561 King St E Courtice ON L1C 1K7,30-Sep-19,Food Take Out
Free Topping Pizza,3-376 Kingston Rd Pickering ON L1V 6K4,05-Nov-19,Food Take Out
Free Topping Pizza,1-282 King Ave Newcastle ON L1B 1H5,22-Sep-20,Food Take Out
Free Topping Pizza,7 Main St S Uxbridge ON L9P 1P2,20-Jan-20,Food Take Out
Free Topping Pizza,165 Simcoe St S Oshawa ON L1H 4G8,08-Feb-21,Food Take Out
Free Topping Pizza,8B-250 Taunton Rd E Oshawa ON L1G 6Z6,10-Mar-20,Food Take Out
Fresh Revolution,4-1189 Ritson Rd N Oshawa ON L1G8B9,13-Dec-19,Food Take Out
Freshii,355 Waverley Rd Bowmanville ON L1C 3K3,10-Mar-20,Food Take Out
Freshii,106-1 Rossland Rd E Ajax ON L1Z 0T4,28-Aug-20,Food Take Out
Freshii,C2.2- 224 Ritson Rd. N Oshawa ON L1G 1Z7,07-Feb-20,Food Take Out
Freshly Squeezed,K15-419 King St W Oshawa ON L1J 2K5,13-Mar-20,Food Take Out
Freshly Squeezed,1355 Kingston Rd Pickering ON L1V 1B8,20-Jan-20,Food Take Out
G. J. Grills On Wheels,1735 Pickering Pkwy Pickering ON L1V 7C7,29-Oct-19,Food Take Out
Gallery On The Farm,1721 Durham Regional Rd 3 Hampton ON L0B 1J0,17-Sep-19,Food Take Out
Garthy Take-Out and Catering,1204 Simcoe St N Oshawa ON L1G 4W9,09-Sep-20,Food Take Out
Ghost Kitchens,1-269 Kingston Rd E Ajax ON L1Z 1G1,30-Dec-20,Food Take Out
Gino's Famous Pizza,750 Oklahoma Dr Pickering ON L1W 3G9,04-Jun-20,Food Take Out
Gino's Pizza,105-617 Victoria St W Whtiby ON L1N 0E7,11-Feb-21,Food Take Out
GM Oshawa Canadian Technical Centre,500 Wentworth St W Oshawa ON L1J 6J2,21-Nov-19,Food Take Out
Go-Go Pizza & Subs,4A-1051 Simcoe St N Oshawa ON L1G 4W3,10-Mar-20,Food Take Out
Golden Crown,10-570 Westney Rd. S Ajax ON L1S 6V5,20-Jan-20,Food Take Out
Golfer's Dream,1000 Scugog Line 2 Port Perry ON L9L 1B3,04-Sep-19,Food Take Out
Golia Mini Market,120-1910 Dundas St E Whitby ON L1N 2L6,16-Oct-19,Food Take Out
Good Karma,FC08-419 King St W Oshawa ON L1J 2K5,13-Jul-20,Food Take Out
Goodfella's Pizzeria,2727 Courtice Rd Courtice ON L1E 3G6,20-Jul-20,Food Take Out
Goodwood Golf Club - Halfway House,5389 Durham Rd 30 Goodwood ON L0G 1E0,25-Jun-19,Food Take Out
Granddad's,A-597A Liverpool Rd Pickering ON L1W 1R1,16-Apr-19,Food Take Out
Grangeways RV Park,9700 Concession 3 Sandford ON L0C 1E0,23-Jun-20,Food Take Out
Great Wok,2-100 Mearns Ave Bowmanville ON L1C 5M3,04-Mar-20,Food Take Out
Gyro Bar,1300 King St E Oshawa ON L1H 8J4,17-Nov-20,Food Take Out
Halenda's Fine Foods Ltd,915 Nelson St Oshawa ON L1H 5N7,16-Mar-20,Food Take Out
Happy Grillmore's,57 Notion Rd Ajax ON L1S 6K7,16-Aug-19,Food Take Out
Harvey's,15 Westney Rd N Ajax ON L1T 1P5,18-Feb-20,Food Take Out
Harvey's,1635 Bayly St Pickering ON L1W 1L9,24-Feb-20,Food Take Out
Harvey's,2 Warren Ave Oshawa ON L1J 0A1,11-Jul-19,Food Take Out
Harvey's,250 Taunton Rd E Oshawa ON L1G 7T1,25-Feb-20,Food Take Out
Harvey's,1309 King St E Oshawa ON L1H 1J3,21-Nov-19,Food Take Out
Healing Spirit Nutrition,190 Westney Rd S Ajax ON L1S 2C8,04-Jan-21,Food Take Out
Helmand Kabob Palace,A14-2200 Brock Rd Pickering ON L1X 2R2,02-Oct-20,Food Take Out
Hibachi Grill,6-1848 Liverpool Rd Pickering ON L1V 1W3,02-Oct-19,Food Take Out
