Facility Name,Site Address,Facility Type,Last Inspection Date
Gateway Marina,29 Channel Killarney ON P0M 2A0,Restaurant,07-Jul-20
Gloria's Restaurant,469 Bouchard St Sudbury ON P3E 2K8,Restaurant,08-Dec-20
Gogama Lodge,Gogama ON P0M 1W0,Restaurant,06-Aug-20
Golded Pizzeria,572 Kathleen St Sudbury ON P3C 2N3,Restaurant,06-Jul-20
Golden Dragon,322 Centre St Espanola ON P5E 1G3,Restaurant,27-Jan-21
Gonga's Grill,233 Brady St Sudbury ON P3B 4H5,Restaurant,20-Jan-21
Gonga's Grill,3098 Falconbridge Rd Garson ON P3L 1P8,Restaurant,27-Jan-20
Gonga's Grill,467 Falconbridge Rd Sudbury ON P3A 5N4,Restaurant,14-Sep-20
Gore Bay Loco Beanz Restaurant,50 Meredith St Gore Bay ON P0P 1H0,Restaurant,02-Feb-21
Great Lakes Pizza,3020 Hwy 69 N Val Caron ON P3N 1R8,Restaurant,14-Dec-20
Green Acres Tent & Trailer Park,10944 Hwy 6 Sheguiandah ON P0P 1K0,Restaurant,25-Aug-20
Green Bay Lodge,463 Green Bay Rd Noëlville ON P0M 2N0,Restaurant,22-Aug-19
Green Wilderness Lodge,"Lot 12 Green Wilderness Camp Rd, Emerald Township Gogama ON P0M 1W0",Restaurant,27-Aug-20
Gus's Restaurant,336 Elm St Sudbury ON P3C 1V8,Restaurant,01-Oct-20
Happy Yummy,481 Centre Street Espanola ON P5E 1T5,Restaurant,19-Jan-21
Hardrock 42 Gastropub,117 Elm St W Sudbury ON P3C 1T3,Restaurant,03-Nov-20
Harvey's,2169 Regent St Sudbury ON P3E 5R2,Restaurant,27-Jan-21
Harvey's,1324 Lasalle Blvd Sudbury ON P3A 1Y8,Restaurant,21-Oct-20
Herbert Fisheries,1942 Regent St Sudbury ON P3E 5V5,Restaurant,29-Jan-21
Herc's Greek Eatery Inc.,875 Notre Dame Ave Sudbury ON P3A 2T2,Restaurant,07-Jul-20
Hilton Garden Inn,475 Barry Downe Rd Sudbury P3A 3T4,Restaurant,
Holiday Inn (Restaurant),1696 Regent St Sudbury ON P3E 3Z8,Restaurant,13-Feb-20
Horwood Lake Lodge - Penhorwood Peninsula,Penhorwood Peninsula Foleyet ON P0M 1T0,Restaurant,25-Sep-20
HSN NEORCC - Tim Hortons (Restaurant #102688),41 Ramsey Lake Rd Sudbury ON P3E 5J1,Restaurant,24-Nov-20
Huron Island Time Restaurant,24 Mutchmore St Providence Bay ON P0P 1T0,Restaurant,02-Jul-20
Huron Sands Motel - Restaurant,5216 Highway 551 Providence Bay ON P0P 1T0,Restaurant,25-Jun-20
Hurry Curry,1528 Lasalle Blvd Sudbury ON P3A 1Z7,Restaurant,20-Jan-21
Idylwylde Country Club,400 Walford Rd Sudbury ON P3E 2G9,Restaurant,01-Dec-20
Ivanhoe River Inn,Ivanhoe Lake Foleyet ON P0M 1T0,Restaurant,16-Aug-19
J & L Lakeview Retreat,48 Minisinakwa Lake Rd Gogama ON P0M 1W0,Restaurant,15-Dec-20
Jak's Diner,1100 Barrydowne Rd Sudbury ON P3A 3V3,Restaurant,27-Oct-20
JD Southern Smokehouse,1-1543 Paris Street Sudbury ON P3E 3B7,Restaurant,06-Oct-20
J's Roadhouse Bar & Grill,830 Barrydowne Rd Sudbury ON P3A 4S4,Restaurant,16-Sep-20
J's Roadhouse Bar + Grill,3045 Highway 69 North Val Caron Ontario P3N 1R8,Restaurant,10-Dec-20
Jube's Bar & Grill,39 Balsam St Copper Cliff ON P0M 1N0,Restaurant,26-Oct-20
Kate's Kountry Kitchen,8130 Hwy 17 Warren ON P0H 2N0,Restaurant,30-Nov-20
Kelly's Family Diner,Hwy 144 Cartier ON P0M 1J0,Restaurant,17-Sep-20
Kelsey's,1425 Kingsway Blvd Sudbury ON P3A 4R7,Restaurant,26-Jan-21
Key Harbour Lodge,Site #1 Comp #16 RR#1 Britt ON P0G 1A0,Restaurant,13-Jul-20
KFC,1657 Main St W Val Caron ON P3N 1R8,Restaurant,10-Dec-20
KFC,1341 Martindale Rd Sudbury ON P3E 4J7,Restaurant,16-Oct-20
KFC,383 Centre St Espanola ON P5E 1E4,Restaurant,20-Jan-21
