Facility Name,Last Inspection Date,Site Address
Pizza Pizza,21-Sep-20,603 Colborne St E. Brantford ON N3S 7S8
Pizza Pizza,07-Feb-20,225 Fairview Dr. Brantford ON N3R 7E3
Pizzaville,11-Dec-20,10-320 Colborne St W Brantford ON N3T 1M2
Players Indoor Golf & Sports Bar,03-Dec-19,3-49 Dalkeith Dr. Brantford ON N3P 1M1
Popeyes Louisiana Kitchen,05-Oct-20,F1/F2-50 Market Street South Brantford ON N3S 2E3
Popeye's Louisiana Kitchen,31-Jan-20,213 King George Rd Brantford ON N3R 6S8
Quesada Burritos & Tacos,07-May-20,175 Lynden Rd. Brantford ON N3P1N6
Red Lobster,16-Jan-20,67 King George Rd Brantford ON N3R 5K2
Riverbend Grillhouse,11-Dec-20,57 Princess St. Glen Morris ON N0B 1W0
Roxy's Tap and Grill,25-Feb-20,214 King George Rd. Brantford ON N3R 5L4
Sai Thai Kitchen,06-Oct-20,3-250 King George Road Brantford ON N3R 5S5
Sammy's Creamery,18-Dec-20,75 Erie Ave. Brantford ON N3S 2G1
Sammy's Rec Room,03-Apr-20,10 Mt. Pleasant St. Brantford ON N3T 1S5
Sam's Grill,,B2-61 Lynden Road Brantford ON N3R 7J9
Scott's Family Restaurant,24-Sep-19,74 Scott Ave Paris ON N3L 3R1
Serenity Country Candles,16-Jan-20,44 Holme Street Brantford ON N3T 4Z7
Shanghai Restaurant,13-Sep-19,907 Colborne St E. Brantford ON N3L 3T3
Sharkey's Billiards & Bar,29-Aug-19,8&9-603 Colborne ST Brantford ON
Shawarmania,31-Jan-20,156 Market Street Brantford ON N3T 3A4
Sherwood Restaurant,06-Jan-21,799 Colborne St E. Brantford ON N3S 3S3
Shoeless Joe's Bar and Grill,02-Oct-20,107-300 King George Rd Brantford N3R 5L8
"Sip ""N"" Dine",08-Jan-21,18 Market Street Brantford ON N3T 2Z4
Skyway Cafe,17-Jan-20,110 Aviation Avenue Brantford ON N3T 5L7
Sociable Kitchen and Tavern,28-Jan-20,45 King George Rd Brantford ON N3R 5K2
Soulfull Kafe,07-Oct-20,81 Brant Ave. Brantford ON N3T 3H2
Speekezzies Cafe & Wine Bar,13-Mar-20,415D Fairview Dr Brantford ON N3R 7M3
Spices on Sydenham,13-Feb-20,159 Sydenham St Brantford ON N3R 3Z1
St. George Arms,09-Oct-19,24 Main St S St. George ON N0E 1N0
Stacked Pancake & Breakfast House,08-Jan-20,102B-265 King George Road Brantford ON N3R 5L5
Star Lanes,,144 Mary St Brantford ON N3S 3B9
Starbucks,04-Nov-20,E1-218 Henry Street Brantford ON N3S0E3
Starbucks Coffee,,"72 Dundas Street, East Paris ON"
Starbucks Coffee,06-Feb-20,15-320 Colborne St W Brantford ON N3T 5L1
Steve's Place,12-Feb-20,87 Grand River St. North Paris ON N3L 2M3
Stillwater's Plate & Pour,18-Sep-20,61 Grand River St N. Paris ON N3L 2M3
Stop 53 Diner,30-Oct-20,1365 A Colborne St E. Brantford ON N3T 5L4
Stromboli's Sandwich & Pizza,22-Dec-20,113 1/2 King George Rd. Brantford ON N3R 5K7
Subway,14-Jan-20,1084 Rest Acres Rd Unit #16 Paris ON N3L 0B5
Subway,08-Jan-20,271 Grand River St N. Paris ON N3L 2N3
Subway,05-Oct-20,C5-230 Shellard Lane Brantford ON N3T 5L5
Subway,14-Dec-20,50 Market St S Brantford ON N3S 2E3
Subway,08-Oct-20,10-225 Fairview Dr Brantford ON N3R 7E3
Subway - KGR,20-Jan-20,206 King George Rd Brantford ON N3R 5L3
Subway - Lynden Rd.,29-May-20,61 Lynden Rd Brantford ON N3R 7J9
Subway Restaurant,16-Nov-20,603 Colbrone St E Brantford ON N3S 7S8
Sunnyside Grill,11-Feb-20,106-39 King George Rd Brantford ON N3R 5K2
Sunset Grill,16-Nov-20,Unit C#2-50 Market St S Brantford ON N3S 2E3
Sunset Grill,18-Nov-20,E2-218 Henry Street Brantford ON N3S 7R4
Sushi Eight,06-Feb-20,103A-265 King George Road Brantford ON N3R 6Y1
Swiss Chalet,12-Feb-20,82 Dundas St.E Paris ON N3L 3H5
Swiss Chalet,15-Jan-21,84 Lynden Rd Brantford ON N3R 6B8
