Facility Name,Site Address,Facility Type,Last Inspection Date
Mr. Sub,640 Richmond Street Chatham ON N7M 1R4,Restaurant,16-Dec-20
My House Restaurant,422 St. George Street S Dresden ON N0P 1M0,Restaurant,02-Dec-20
My Mother's Kitchen,628 Main Street N Bothwell ON N0P 1C0,Restaurant,03-Dec-20
Oven 360,346 St. Clair St. Chatham ON N7L 3K2,Restaurant,22-Dec-20
Park Day Program,1099 Park Avenue W Chatham ON N7M 5L3,Restaurant,30-Sep-20
Parks (Blueberries) - Restaurant,14815 Longwoods Rd Bothwell ON N0P 1C0,Restaurant,27-Nov-20
Parkside Cabins,7 Main Street Dover Centre ON N0P 1L0,Restaurant,06-Aug-20
Pinnell's Coffee Shop,40 Main Street E Ridgetown ON N0P 2C0,Restaurant,04-Nov-20
Pita Pit,1-61 McNaughton Avenue Wallaceburg ON N8A 1R7,Restaurant,02-Dec-20
Pizza Hut,116 Keil Dr S Chatham ON N7M 3H1,Restaurant,14-Aug-20
Popeyes,756 St Clair Street Chatham ON N7M 5J7,Restaurant,05-Aug-20
Quesada,861 St Clair Street Chatham ON N7L 0E9,Restaurant,09-Oct-20
Quo Vadis Pizzeria,316 St. Clair Street Chatham ON N7L 3K1,Restaurant,30-Nov-20
Renny's The Village Smokehouse,7 Talbot Road West Wheatley ON N0P 2P0,Restaurant,24-Sep-20
Rice and Noodle,112 Keil Dr S Chatham ON N7M 3H1,Restaurant,16-Nov-20
Ridgetown Bowling Lanes Restaurant,11 York Street E Ridgetown ON N0P 2C0,Restaurant,06-Mar-20
Ridgetown Golf and Curling Club Restaurant,12438 Golf Course Line Ridgetown ON N0P 2C0,Restaurant,20-May-20
River Rock/The Garden,187/193 King Street W Chatham ON N7M 1E4,Restaurant,24-Jun-20
Riverport Restaurant,524 James Street Wallaceburg ON N8A 2N9,Restaurant,11-Dec-20
Rondeau Joe's,11521 Wildwood Line Rondeau ON N0P 1X0,Restaurant,14-May-20
Rondeau Provincial Park Store,17950 Rondeau Rd Rondeau ON N0P 1X0,Restaurant,16-Aug-19
Rondeau Rod & Gun Club,10260 Campbell Line Blenheim ON N0P 1A0,Restaurant,24-Sep-20
Rose's Family Restaurant,10 Queen Street N Tilbury ON N0P 2L0,Restaurant,30-Sep-20
Rossini's Restaurant,634 Grand Ave Chatham ON N7L 1X6,Restaurant,03-Sep-20
Royal Canadian Legion Branch #185,34 Catherine St Blenheim ON N0P 1A0,Restaurant,17-Dec-20
Royal Canadian Legion Branch #642,39 William Street N Chatham ON N7M 4L3,Restaurant,29-Oct-20
Ruby's Eatery,308 St George Street S Dresden ON N0P 1M0,Restaurant,02-Dec-19
Sally's Variety And Restaurant,132 Queen Street SO Tilbury ON N0P 2L0,Restaurant,05-Oct-20
Sam's Percolator,85 Thames St Chatham ON N7L 2Z5,Restaurant,19-Nov-20
Sam's Restaurant and Broasted Chicken,26 Main St E Ridgetown ON N0P 2C0,Restaurant,26-Aug-20
Satellite Restaurant (Kent) Ltd.,145 King St W Chatham ON N7M 1E4,Restaurant,30-Oct-20
Saxony Motel - Restaurant,521 Grand Avenue Chatham ON N7L 3Z2,Restaurant,16-Sep-20
Shady Pine Family Restaurant,9464 Longwoods Road Chatham ON N7M 5J1,Restaurant,15-Dec-20
Shepherd's Way Inn,260 King Street W Chatham ON N7M 1E7,Restaurant,12-Nov-19
Smitty's Restaurant,305 Grand Ave W Chatham ON N7L 1C3,Restaurant,14-Dec-20
Sons of Kent,27 Adelaide St. South Chatham Ontario N7M 4P9,Restaurant,04-Dec-20
Southside Tap & Grille,936 Charing Cross Road Chatham ON N7M 5K4,Restaurant,17-Dec-20
Spice & Curry,49 Keil Drive S Chatham ON N7M 3G7,Restaurant,18-Aug-20
Starbucks,806 St. Clair St. Chatham Ontario N7M 5J7,Restaurant,16-Jun-20
Stephen's II Restaurant,15 Talbot Street W Blenheim ON N0P 1A0,Restaurant,16-Dec-20
Stephen's Restaurant,11 Main St W Ridgetown ON N0P 2C0,Restaurant,03-Mar-20
Steve's Pizzeria,4-455 Grand Ave Chatham ON N7L 1X4,Restaurant,18-Aug-20
Subway,14 Erie Street N Wheatley ON N0P 2P0,Restaurant,14-Dec-20
Subway,455 Grand Avenue Chatham ON N7L 1X4,Restaurant,02-Sep-20
Subway,170 Talbot Street W Blenheim ON N0P 1A0,Restaurant,25-Nov-20
Subway,438 St George St S Dresden ON N0P 1M0,Restaurant,07-Oct-20
Subway,447 St Clair Street Chatham ON N7L 3K6,Restaurant,26-Nov-20
Subway,30 McNaughton Ave Wallaceburg ON N8A 1R9,Restaurant,10-Dec-20
Subway,90 Queen Street NO Tilbury ON N0P 2L0,Restaurant,26-Oct-20
Subway,75 Keil Drive S Chatham ON N7M 3G9,Restaurant,26-Oct-20
Subway,380 Queen Street Chatham ON N7M 2H6,Restaurant,09-Jul-20
Sunny Glades Nature Park - Restaurant,29944 Zone Rd 7 Bothwell ON N0P 1C0,Restaurant,19-Aug-20
Super 8 Motel,25 Michener Rd Chatham ON N7L 4B8,Restaurant,21-Jan-20
Swiss Chalet,160 Keil Dr S Chatham ON N7M 5Y6,Restaurant,13-Jul-20
Sydenham Community Curling Club,7379 North River Line Wallaceburg ON N9A 2Y0,Restaurant,03-Dec-20
Taco Bell,328 St. Clair Street Chatham ON N7L 3K5,Restaurant,22-Dec-20
Talbot Trail Golf Club,790 Talbot Trail Wheatley ON N0P 2P0,Restaurant,11-Sep-20
Tasty Kitchen,57 Main St W Ridgetown ON N0P 2C0,Restaurant,27-Aug-20
Tasty Lunch,79 King Street W Chatham ON N7M 1C7,Restaurant,30-Oct-20
