Facility Name,Site Address,Community,Facility Type,Last Inspection Date,Inspection Result
Subway - Red Lake,11 Hwy 105 Red Lake ON P0V 2M0 Canada,Red Lake,Restaurant,,
Subway - Sioux Lookout,36 Front St Sioux Lookout ON P8T 1J6 Canada,Sioux Lookout,Restaurant,15-Jul-20,
Sushi 251,251 Second St S Kenora ON P9N 1G1 Canada,Kenora,Restaurant,17-Jul-20,
The Bear's Den Bakery,A-1624 Hwy 71 Nestor Falls ON P0X 1K0 Canada,Nestor Falls,Restaurant,,
The Black Barrell Eatery,5 Earl Ave Dryden ON,Dryden,Restaurant,07-Aug-20,
The Boathouse,310 Matheson St Kenora ON P9N 4J6 Canada,Kenora,Restaurant,,
The Cornerstone,154 Main St S Kenora ON P9N 1J2 Canada,Kenora,Restaurant,17-Jul-20,
The Flint House,232 Scott St Fort Frances ON P9A 1G7 Canada,Fort Frances,Restaurant,,
The Hole-In-One - Ear Falls Golf Course,35 Chestnut St Ear Falls ON P0V 1T0 Canada,Ear Falls,Restaurant,,
The Hub YXL,7 Airport Rd Sioux Lookout ON P8T 1A5 Canada,Sioux Lookout,Restaurant,25-Nov-20,
The Hub YXL Coffee Shop,7 Airport Rd Sioux Lookout ON P8T 1A5 Canada,Sioux Lookout,Restaurant,,
The Hungry Pug Café,301 2nd St S Kenora ON P9N 1G3 Canada,Kenora,Restaurant,25-Jun-20,
The Lighthouse,328 Scott St Fort Frances ON P9A 1G9 Canada,Fort Frances,Restaurant,,
The Neighbourhood Eatery,B-5707 Hwy 71 Sioux Narrows ON P0X1N0 Canada,Sioux Narrows,Restaurant,21-May-20,
The Outdoorsman Restaurant,105 Main St E Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,15-Dec-20,
The Pickle Lake Hotel,6 Koval St Pickle Lake ON P0V 3A0 Canada,Pickle Lake,Restaurant,,
The Thirsty Moose,28 Hwy 105 Red Lake ON Canada,Red Lake,Restaurant,,
Tim Hortons - Dryden,655 Government St Dryden ON P8N 3E3 Canada,Dryden,Restaurant,,
Tim Hortons - Fort Frances,525 King's Hwy Fort Frances ON P9A 2S9 Canada,Fort Frances,Restaurant,,
Tim Hortons - Kenora (Hwy 17 East),135 Hwy 17 E Kenora ON P9N 1M2 Canada,Kenora,Restaurant,06-Jul-20,
Tim Hortons - Kenora (Lakeview Drive),714 Lakeview Dr Kenora ON P9N 3P7 Canada,Kenora,Restaurant,,
Tim Hortons - Red Lake,5 Hughs Cr Red Lake ON Canada,Red Lake,Restaurant,,
Tim Hortons - Sioux Lookout,11 5th Ave S Sioux Lookout ON P8T 1E5 Canada,Sioux Lookout,Restaurant,28-Oct-20,
Timber Garden,805 St. Clair St Keewatin ON P0X 1C0 Canada,Kenora,Restaurant,,
Timberlanes Restaurant,38 Princess St Dryden ON P8N 1C6 Canada,Dryden,Restaurant,,
Totem Lodge,1 Totem Rd Sioux Narrows ON P0X 1N0 Canada,Sioux Narrows,Restaurant,02-Jul-20,
Trillium Motel,40 Hwy 105 N Ear Falls ON P0V 1T0 Canada,Ear Falls,Restaurant,,
Triple T Lunch Bar & Confectionary,411 Mckenzie St Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Twin Towers,13790 Hwy 17 E Dryden ON P8N 2Y4 Canada,Dryden,Restaurant,,
Vet's Confectionary,537 Park St Kenora ON P9N 2B5 Canada,Kenora,Restaurant,,
Wasaw Enterprise,450 Hwy 11 Fort Frances ON P9A 3M7 Canada,Fort Frances,Restaurant,,
Wellington Motor Inn,67 Wellington St Sioux Lookout ON P8T 1C3 Canada,Sioux Lookout,Restaurant,07-Oct-20,
Western Winds Restaurant,43 Duke St Dryden ON P8N 1E8 Canada,Dryden,Restaurant,,
Westwood Motel/Robins Donuts,409 Main St Ignace ON P0T 1T0 Canada,Ignace,Restaurant,04-Nov-20,
Whiskey Jack Restaurant and Tavern,Hwy 105 Perrault Falls ON P0V 2K0 Canada,Unorganized District of Kenora,Restaurant,,
White Otter Inn,710 Mckenzie St Atikokan ON P0T 1C0 Canada,Atikokan,Restaurant,,
Wiley Point Lodge,Lake of the Woods Kenora (Unorganized) ON P0X 1N0 Canada,Fly-In/Boat-In,Restaurant,,
Willard Lake Resort Restaurant,Hwy 17 E Kenora (Unorganized) ON P0X 1H0 Canada,Unorganized District of Kenora,Restaurant,,
Winston Motor Hotel,31 Koval St Pickle Lake ON P0V 3A0 Canada,Pickle Lake,Restaurant,,
Woods Quality Bakery,214 Fourth St Rainy River ON P0W 1L0 Canada,Rainy River,Restaurant,,
Yesterdays Restaurant & Lounge,800 Hwy 17 E Kenora ON P9N 1L9 Canada,Kenora,Restaurant,,
Yummy Yummy Chinese Restaurant,39 Matheson St S Kenora ON P9N 1T7 Canada,Kenora,Restaurant,,
