Facility Name,Site Address,Facility Type,Last Inspection Date
Pizza Depot,4B-321 Tecumseh Rd E Windsor ON N8X 2R5,Food Take Out,18-Jan-2021
Pizza Depot,1527 Provincial Rd Windsor ON N8W 5V7,Food Take Out,
Pizza Express,50 King St W Harrow ON N0R 1G0,Food Take Out,03-Oct-2019
Pizza Hut,B-3222 Dougall Ave Windsor ON N9E 1S8,Food Take Out,04-Nov-2020
Pizza Hut,02-7555 Tecumseh Rd E Windsor ON N8T 1G2,Food Take Out,
Pizza King,2347 Pillette Rd Windsor ON N8T 1P7,Food Take Out,13-Nov-2019
Pizza Pizza,12219 Riverside Dr E Windsor ON N8N 1A1,Food Take Out,
Pizza Pizza,5400 Tecumseh Rd E Windsor ON N8T 1C8,Food Take Out,30-Dec-2020
Pizza Plus,704 Felix Ave Windsor ON N9C 3K8,Food Take Out,09-Oct-2020
Pizzaway,2430 Dougall Ave Windsor ON N8X 1T2,Food Take Out,04-Sep-2020
Pizzeremo Inc.,770 Erie St. E. Windsor Ontario N8X 2G1,Food Take Out,21-Dec-2020
Point Pelee Karting,538 Bevel Line Rd Leamington ON N8H 3W1,Food Take Out,16-Oct-2020
Popular Pizza,101-225 Wyandotte St W Windsor ON N9A 5X1,Food Take Out,09-Dec-2020
Presto Pizzeria,601 Centre St Belle River ON N0R 1A0,Food Take Out,14-Jul-2020
Primo Pizza,9733 Tecumseh Rd E Windsor ON N8R 1A5,Food Take Out,17-Oct-2019
Quizno's Sub,160 Erie St N Leamington ON N8H 3A4,Food Take Out,06-Jan-2021
Quizno's Sub,1915 Front Rd LaSalle ON N9J 2B8,Food Take Out,01-Sep-2020
Raku Sushi,7100 Tecumseh Rd E Windsor ON N8T 1E6,Food Take Out,29-Jan-2021
Rasoi,12150 Tecumseh Rd E Windsor ON N8N 1L9,Food Take Out,
Revival Harvest Church,1970 Tourangeau Road Windsor ON N8W 4N3,Food Take Out,18-Dec-2020
Rico Taco Mexican Street Eats,1991 Ottawa Street Windsor ON,Food Take Out,
Rina's Pizzeria,93 Erie St S Leamington ON N8H 3B4,Food Take Out,25-Jun-2019
Road Chef,2390 Tecumseh Rd W Windsor ON N9B 1W1,Food Take Out,06-Dec-2019
Rosa's Pizza,372-3491 Walker Rd Windsor ON N8W 3S2,Food Take Out,21-Jul-2020
Rose City Sandwich Co.,912 Ottawa St Windsor ON N8X 2E1,Food Take Out,21-Jan-2020
Roti Bowl & Soul,359 Ouellette Ave Windsor ON N9A 4J1,Food Take Out,19-Jan-2021
Royal Pizza & More,3-899 Grand Marais Rd E Windsor ON N8X 3H9,Food Take Out,02-Nov-2020
Sai Prasad Indian Restaurant,1064 Wyandotte St E Windsor ON N9A 3K2,Food Take Out,17-Dec-2020
Saints Cafe - Zekelman Tennis Centre,2000 Talbot Road Windsor ON N9G3C3,Food Take Out,
Sammy's Pizza,1802 Drouillard Rd Windsor ON N8W 3X5,Food Take Out,08-Sep-2020
Sandwich & Kabsa Hub,3214 Sandwich St W Windsor ON N9C 1A8,Food Take Out,28-Sep-2020
Sarducci's Pizza,2675 Lauzon Rd Windsor ON N8T 2Z5,Food Take Out,09-Dec-2019
Sarducci's Pizza,435 Tecumseh Rd W Windsor ON N8X 1G6,Food Take Out,15-Oct-2020
Schinkel's Meat Market,24 Talbot St N Essex ON N8M 1A4,Food Take Out,26-Aug-2020
Sham Sweets,4-500 Wyandotte St E Windsor ON N9A 3H9,Food Take Out,03-Dec-2020
Shawarma Express,600-300 Tecumseh Rd E Windsor ON N8X 5E8,Food Take Out,22-Sep-2020
Ship Ahoy,1115 Point Pelee Dr Leamington ON N8H 3V4,Food Take Out,29-Oct-2020
Shway Shway Cafe,7515 Forest Glade Dr Windsor N8T 3P5,Food Take Out,09-Dec-2019
Slinky's,100 Lesperance Rd Tecumseh ON N8N 1W1,Food Take Out,29-Jun-2020
Smokebox BBQ,4200 Del Duca Dr Oldcastle ON N0R 1L0,Food Take Out,13-Sep-2019
Sokoni African Take Out,3170 Walker Road Windsor ON N8W 3R5,Food Take Out,26-Nov-2019
