Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Emily,FOSTER'S LAKESHORE RESTAURANT,,,913 PEACE RD OMEMEE ON K0L 2W0
Dorset,FOUR BROTHERS FRIES,,22-Jul-2020,1652 RUSSELL LANDING RD DORSET ON P0A 1E0
Lindsay,FOX MART,,10-Mar-2020,153 ANGELINE ST N LINDSAY ON K9V 4X3
Mariposa Township,FRAN'S OLDE COUNTRY BAKERY,,,19 OWL CRT LITTLE BRITAIN ON K0M 2C0
Minden,FRESH - KILLARA STATION,,28-Jul-2020,5205 GELERT RD MINDEN ON K0M 2K0
Lindsay,FRESH FUELL- MOBILE PREMISES - Fresh Fuell- Mobile Premises,,,86 COLBORNE ST W LINDSAY ON K9V 3T3
Lindsay,FRESH FUELL/NORTH WARD COFFEE CO.,,18-Jan-2021,172 ANGELINE ST N LINDSAY ON K9V 4X2
Hastings Village,FRIENDLY ACRES PARK - CONVENIENCE STORE,,,278 FRIENDLY ACRES RD HASTINGS ON K0L 1Y0
Lindsay,FRIENDLY RESTAURANT,,11-Sep-2020,8 KENT ST W LINDSAY ON K9V 2V1
Warkworth,FRIESEN'S SMOKEHAUS,,06-Aug-2020,7-27 MAIN ST WARKWORTH ON K0K 3K0
Lindsay,FROST MANOR RESIDENCE,,16-Nov-2020,225 MARY ST W LINDSAY ON K9V 5K5
Port Hope Municipality,FROSTED FLOUR CO,,,103-73 MILL ST PORT HOPE ON L1A 2S8
Brighton,FRYDAY CHIP TRAILER - BRIGHTON KOA,,10-Jun-2020,15051 TELEPHONE RD BRIGHTON ON K0K 1H0
Bobcaygeon Village,FULL CUP CAFE,,17-Nov-2020,50 MAIN ST BOBCAYGEON ON K0M 1A0
Brighton,"GABLES RESTAURANT, THE",,,14 DIVISION ST N BRIGHTON ON K0K 1H0
Port Hope Municipality,GANARASKA CHILD CARE CENTRE,,18-Aug-2020,130 HIGHLAND DR PORT HOPE ON L1A 2A3
Port Hope Municipality,GANARASKA FOREST CENTRE,,02-Jun-2020,10585 COLD SPRINGS CAMP RD CAMPBELLCROFT ON L0A 1B0
Port Hope Municipality,GANARASKA HOTEL,,,30 ONTARIO ST PORT HOPE ON L1A 2T8
Port Hope Municipality,GANARASKA TRAIL PUBLIC SCHOOL,,,34 PERCIVAL ST PORT HOPE ON L1A 2B7
Campbellcroft,GANARASKA WOODS CENTRE,,,8157 HAMILL RD CAMPBELLCROFT ON L0A 1B0
Campbellcroft,GARDEN HILL GENERAL STORE,,,3825 GANARASKA RD CAMPBELLCROFT ON L0A 1B0
Cobourg,GEORGE AND ORANGE,,,67 ORANGE ST COBOURG ON K9A 2M4
Port Hope Municipality,GIANT TIGER,,,145 PETER ST PORT HOPE ON L1A 1C5
Lindsay,GIANT TIGER,,,55 ANGELINE ST N LINDSAY ON K9V 5B7
Campbellford,GIANT TIGER,,10-Jul-2020,547 GRAND RD CAMPBELLFORD ON K0L 1L0
Colborne,GILLIGAN'S PUB,,,4 KING ST E COLBORNE ON K0K 1S0
Baltimore,GILL'S CONVENIENCE,,,4723 CTY RD 45 COBOURG ON K9A 4J9
Snowdon,GIRLS WITH GRUB,,20-May-2020,8193 HWY 503 IRONDALE ON K0M 1X0
Warkworth,GLOVER FARM MARKET,,07-Aug-2020,14260 CTY RD 29 WARKWORTH ON K0K 3E0
Minden,GODFATHERS PIZZA,,28-Feb-2020,12311 HWY 35 MINDEN ON K0M 2K0
Fenelon Falls Village,GODFATHER'S PIZZA,,19-Oct-2020,116 LINDSAY ST FENELON FALLS ON K0M 1N0
Bobcaygeon Village,GODFATHER'S PIZZA,,04-Dec-2020,85 BOLTON ST BOBCAYGEON ON K0M 1A0
Roseneath,GOLDEN BEACH RESORT,,02-Sep-2020,7100 CTY RD 18 ROSENEATH ON K0K 2X0
Roseneath,GOLDEN BEACH RESORT - SNACK SHACK,,02-Sep-2020,7100 COUNTY RD 18 ROSENEATH ON K0K 2X0
Cobourg,GOLDEN CHOPSTICKS,,17-Apr-2020,26 KING ST W COBOURG ON K9A 3A2
Cobourg,GOLDEN PLOUGH LODGE,,09-Mar-2020,983 BURNHAM ST COBOURG ON K9A 5J6
Codrington,GOLDEN POND RETIREMENT,,11-Dec-2020,387 GOODRICH RD CODRINGTON ON K0K 1R0
Brighton,"GOLDEN ROOSTER BAR AND GRILL, THE",,,1 PRINCE EDWARD ST BRIGHTON ON K0K 1H0
Dysart Township,GOOD FOOD BOX,,,LIONS INTERNATIONAL HALIBURTON ON K0M 1S0
Gore’s Landing,GORES LANDING GENERAL STORE,,,5251 PLANK RD GORES LANDING ON K0K 2E0
Bethany,GOURLEY AUTOMOTIVE AND VARIETY,,,1450 HWY 7A BETHANY ON L0A 1A0
Grafton,GRAFTON FAMILY YMCA CHILD CARE CENTER - FOOD SERVICES,,30-Jun-2020,718 STATION RD GRAFTON ON K0K 2G0
Grafton,GRAFTON PIZZA,,20-Feb-2020,10843 COUNTY RD 2 GRAFTON ON K0K 2G0
Grafton,GRAFTON PUBLIC SCHOOL,,,654 STATION RD GRAFTON ON K0K 2G0
Grafton,GRAFTON PUBLIC YMCA BEFORE AND AFTER CARE,,,654 STATION RD GRAFTON ON K0K 2G0
Grafton,GRAFTON VARIETY STORE,,19-Oct-2020,10861 CTY RD 2 GRAFTON ON K0K 2G0
Grafton,GRAFTON VILLAGE INN,,,"PO BOX 181, 10830 CTY RD 2 GRAFTON ON K0K 2G0"
Lindsay,"GRAND EXPERIENCE, THE",,27-Mar-2019,171-177 KENT ST W LINDSAY ON K9V 4Y7
Hastings Village,GRAND MAPLE EVENT CENTRE,,,19 ALBERT ST E HASTINGS ON K0L 1Y0
Bethany,GRANDVIEW PUBLIC SCHOOL,,,698 HWY 7A Bethany ON L0A 1A0
Bobcaygeon Village,GRANT'S FAMILY BUTCHER SHOP,,27-May-2020,35 KING ST E BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,GRAZ,,08-Dec-2020,38 BOLTON ST BOBCAYGEON ON K0M 1A0
Verulam,GREEN ACRES TRAILER PARK,,,8 GREEN ACRES LANE BOBCAYGEON ON K0M 1A0
Somerville Township,"GRILL, THE",,,4027-County Rd 121 Kinmount ON
Bobcaygeon Village,GRILLED CHEESE HIDEAWAY,,,33 KING ST E BOBCAYGEON ON K0M 1A0
Colborne,GUARDIAN IDA,,24-Feb-2020,3 KING ST E COLBORNE ON K0K 1S0
Laxton,GULL RIVER/QUEEN OF FRIES,,06-Jul-2020,7546 HWY 35 NORLAND ON K0M 2L0
Alderville First Nations,GUS'S GRILL 2 GO,,07-Aug-2020,387 HANNAH RD BAILIEBORO ON K0L 1B0
Lindsay,GWEN'S DOUGH,,,24 SANDERLING CRES LINDSAY ON K9V 4N2
Grafton,HALDIMAND ARENA,,,10766 CTY RD 2 GRAFTON ON K0K 2G0
Grafton,HALDIMAND OUTSIDE CANTEEN,,24-Apr-2020,10776 COUNTY RD 2 GRAFTON ON K0K 2G0
Dysart Township,HALIBURTON 4CS FOOD BANK,,,26 YORK ST HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON ALTERNATE EDUCATION & TRAINING CENTRE,,,1018 GRASS LAKE RD HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON ALTERNATE EDUCATION & TRAINING CENTRE - HOSPITALITY ROOM,,,1018 GRASS LAKE RD HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON COMMUNITY FUNERAL HOME - THE COMMUNITY ROOM,,,13523 HWY 118 W HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON CURLING CLUB,,16-Sep-2020,730 MOUNTAIN ST HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON FOODLAND,,,188 HIGHLAND ST HALIBURTON ON K0M 1S0
Guilford Township,HALIBURTON HIGHLANDS BREWING CO,,,1067 GARDEN GATE DR HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON HIGHLANDS GOLF COURSE,,17-Aug-2020,3180 KASHAGAWIGAMOG LAKE RD HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON HIGHLANDS HEALTH SERVICES - MEALS ON WHEELS,,,7185 GELERT RD HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON HIGHLANDS OUTDOORS ASSOCIATION,,23-Jun-2020,6712 GELERT RD HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON HIGHLANDS SECONDARY SCHOOL - CAFETERIA,,,5358 CTY RD 21 HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON HIGHLANDS SECONDARY SCHOOL - HOSPITALITY AND TOURISM,,,5358 CTY RD 21 HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON HIGHLANDS SECONDARY SCHOOL - NUTRITION PROGRAM,,25-Nov-2020,5358 CTY RD 21 HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON HOCKEY HAVEN SPORTS CAMP,,06-Aug-2020,2797 KASHAGAWIGAMOG LAKE RD HALIBURTON ON K0M 1S0
Dudley,HALIBURTON SCOUT RESERVE,,06-Aug-2020,3161 KENNAWAY RD HALIBURTON ON K0M 1S0
Dudley,HALIBURTON SCOUT RESERVE,,06-Aug-2020,3161 KENNAWAY RD HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON UNITED CHURCH,,,10 GEORGE ST HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON UNITED CHURCH - BASEMENT,,,10 GEORGE ST HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON WEE CARE AFTER SCHOOL AGE PROGRAM,,,1029 GRASS LAKE RD HALIBURTON ON K0M 1S0
Dysart Township,HALIBURTON WEE CARE DAY NURSERY,,14-Dec-2020,4726 CTY RD 21 HALIBURTON ON K0M 1S0
Haliburton Village,HALIBURTON YOUTH HUB - KITCHEN,,,12 DYSART AVE HALIBURTON ON K0M 1S0
Lindsay,HALIBUT HOUSE FISH & CHIPS,,01-Dec-2020,1-449 KENT ST W LINDSAY ON K9V 6C3
Port Hope Municipality,HAPPENSTANCE BAKERY AND COFFEE ROASTERY,,21-Feb-2020,91 PETER ST PORT HOPE ON L1A 1N1
Port Hope Municipality,HAPPENSTANCE COFFEE PUB,,18-Feb-2020,66 WALTON ST PORT HOPE ON L1A 1N2
Manilla,HAPPY TREATS ICE CREAM TRAILER 1,,,488 CRESSWELL RD MANILLA ON K0M 2J0
Manilla,HAPPY TREATS ICE CREAM TRAILER 2,,,488 CRESSWELL RD MANILLA ON K0M 2J0
Cobourg,HARBOURLIGHT DELIGHT,,17-Aug-2020,164 DIVISION ST COBOURG ON K9A 3P3
Brighton,HARBOURVIEW MARINA RESTAURANT,,02-Sep-2020,5 BAY ST W BRIGHTON ON K0K 1H0
Harcourt Township,HARCOURT COMMUNITY CENTRE,,,1032 MIDWAY ST HARCOURT ON K0M 1X0
Harcourt Township,HARCOURT PARK COMMUNITY CENTER,,,2141 SUMCOT RD HARCOURT ON K0L 1X0
Harcourt Township,HARCOURT PARK GENERAL STORE & MARINA,,,2199 SUMCOT DR HARCOURT ON K0L 3C0
Bexley Township,HAROLD'S COBY FISH 'N CHIPS,,29-May-2020,6694 HWY 35 COBOCONK ON K0M 1K0
Gore’s Landing,HARRIS BOAT WORKS,,,5369 HARR IS BOAT WORKS RD GORES LANDING ON K0K 2E0
Codrington,HARRYS HOTS,,24-Jul-2020,33 GROSJEAN RD CODRINGTON ON K0K 1R0
Port Hope Municipality,HARVEY'S SERVING SWISS CHALET,,04-Mar-2020,213 HWY 401 & HWY 28 PORT HOPE ON L1A 3W4
Lindsay,HARVEY'S/SWISS CHALET,,07-Jan-2021,2-400 KENT ST W LINDSAY ON K9V 6K2
Harwood,HARWOOD FAMILY VARIETY,,06-May-2020,6117 RICE LAKE SCENIC DR HARWOOD ON K0K 2H0
Hastings Village,HASTINGS CIVIC CENTRE EMERGENCY SHELTER,,,6 ALBERT ST E HASTINGS ON K0L 1Y0
Hastings Village,HASTINGS HOUSE RESTAURANT & BAR,,,27 FRONT ST HASTINGS ON K0L 1Y0
Hastings Village,HASTINGS PUBLIC SCHOOL,,,25 ALBERT ST W HASTINGS ON K0L 1Y0
Fenelon Falls Village,HASTY MARKET,,,109 LINDSAY ST FENELON FALLS ON K0M 1N0
Port Hope Municipality,"HAUTE GOAT - SCREAMING GOAT, THE",,,1166 5TH LINE PORT HOPE ON L0A 1J0
Dysart Township,HEAD LAKE GRILL,,23-Nov-2020,48 HIGHLAND ST HALIBURTON ON K0M 1S0
Hamilton Township,HEADWATERS COMMUNITY FARM AND EDUCATION CENTRE,,,3517 ROWE RD COBOURG ON K9A 4J7
Colborne,HEATH VINTAGE,,29-Oct-2020,24 King St. E Colborne Ontario
Minden,HEATHER LODGE,,,14483 HWY 35 MINDEN ON K0M 2K0
Bethany,HEAVEN ON 7,,,2318 HILLVIEW DR BETHANY ON L0A 1A0
Cobourg,HERC'S - Health food/nutritional supplements,,,9 Elgin Street East Cobourg ON K9A 0A1
Port Hope Municipality,HERMA'S FINE FOODS/GIFTS,,,5316 CTY RD 28 PORT HOPE ON L1A 3V6
Dysart Township,HHHS - HALIBURTON HOSPITAL & HIGHLAND WOODS,,14-Oct-2020,7199 GELERT RD HALIBURTON ON K0M 1S0
Minden,HHHS - MINDEN HOSPITAL & HYLAND CREST SENIOR CITIZENS HOME - MAIN KITCHEN AND 2 SERVERIES,,23-Oct-2020,6 MACPHERSON MINDEN ON K0M 2K0
Campbellford,HIDDEN TREASURE CHEST FLEA MARKET TAKEOUT,,10-Jun-2020,2 INDUSTRIAL DR CAMPBELLFORD ON K0L 1L0
Wilberforce,HIGHLAND GROVE COMMUNITY CENTRE,,,5373 LOOP RD WILBERFORCE ON K0L 3C0
Minden,HIGHLAND HILLS UNITED CHURCH,,,21 NEWCASTLE ST MINDEN ON K0M 2K0
Gooderham,HIGHLAND MEATS,,,10124 CTY RD 503 GOODERHAM ON K0K 1R0
Somerville Township,HIGHLANDS CINEMA,,,4131 HWY 121 KINMOUNT ON K0M 1A0
Wilberforce,HIGHLANDS EAST FOOD HUB,,,2249 LOOP RD WILBERFORCE ON K0M 1S0
Campbellford,HILLCREST PUBLIC SCHOOL,,,55 ELMORE RD CAMPBELLFORD ON
Campbellford,HILLSIDE HAVEN,,18-Dec-2020,54 RANNEY ST S CAMPBELLFORD ON K0L 1L0
Campbellford,HOARD STATION,,,2508 CTY RD 8 CAMPBELLFORD ON K0L 1L0
Lindsay,HOBART'S BAR & STEAKHOUSE,,27-Mar-2020,189 KENT ST W LINDSAY ON K9V 5G6
Cobourg,Home Kitchen,,26-Nov-2020,251 Ball Street Cobourg
Cobourg,HOME PLATE PANCAKE HOUSE AND RESTAURANT,,,955 ELGIN ST W COBOURG ON K9A 5J3
Cobourg,HOMETOWN BINGO,,,206-884 DIVISION ST COBOURG ON K9A 5V6
Port Hope Municipality,HOPE STREET TERRACE,,24-Mar-2020,20 HOPE ST S PORT HOPE ON L1A 2M8
Monmouth,"HOT SPOT BOUTIQUE, THE",,,18639 HWY 118 TORY HILL ON K0L 2Y0
Cobourg,HOUSTON'S COUNTRY STORE,,,3232 BURNHAM ST COBOURG ON K9A 4J7
Ops Township,HOWARD JOHNSON,,24-Feb-2020,354 LINDSAY ST S LINDSAY ON K9V 4R4
Wilberforce,HUFF'S HUT,,,1725 LOOP ROAD WILBERFORCE ON K0L 3C0
Campbellford,I AM COFFEE,,,49 FRONT ST N CAMPBELLFORD ON K0L 1L0
Ops Township,I E WELDON SECONDARY SCHOOL,,,24 WELDON RD LINDSAY ON K9V 4R6
Ops Township,I E WELDON SECONDARY SCHOOL,,,24 WELDON RD LINDSAY ON K9V 4R6
Campbellford,"ICE CREAM CAFE, THE",,26-Mar-2020,48 BRIDGE ST E CAMPBELLFORD ON K0L 1L0
Minden,INGOLDSBY UNITED CHURCH,,,1741 INGOLDSBY RD INGOLDSBY ON K0M 2K0
Dysart Township,INTO THE BLUE - MOBILE,,22-Jul-2020,"1012 Garden Gate Dr, Algonquin Highlands ON K0M 1S0"
Dysart Township,INTO THE BLUE PIZZA,,09-Jul-2020,"2622 Eagle Lake Rd, Eagle Lake ON K0M 1M0"
Snowdon,IRONDALE COMMUNITY CENTRE,,22-Jul-2020,1004 IRONDALE RD IRONDALE ON K0M 1X0
Baltimore,ISLAND HOTPOT,,12-Aug-2020,8-4723 COUNTY RD 45 COBOURG ON K9A 4J9
Campbellford,ISLAND PARK RETIREMENT RESIDENCE,,26-Aug-2020,18 TRENT DR CAMPBELLFORD ON K0L 1L0
Brighton,ISLAND PARK RV RESORT,,,9 ISLAND PARK RD STIRLING ON K0K 3E0
Laxton,ISLAND VIEW TRAILER PARK,,,10 BEAVER POINT RD COBOCONK ON K0M 1K0
Colborne,IZZY'S SPUD MOBILE,,15-Apr-2020,530 PURDY RD COLBORNE ON K0K 1S0
Minden,J & G WAFFLE WAGON,,,26 VINTAGE CRES MINDEN ON K0M 2K0
Dysart Township,J DOUGLAS HODGSON ELEMENTARY SCHOOL,,,1020 GRASS LAKE RD HALIBURTON ON K0M 1S0
Gooderham,J&D CAFE,,08-Apr-2020,1014 MILL ST GOODERHAM ON K0M 1R0
Port Hope Municipality,JACK BURGER SPORTS COMPLEX,,04-Mar-2020,60 HIGHLAND DR PORT HOPE ON L1A 3V9
Port Hope Municipality,JACK BURGER SPORTS COMPLEX CANTEEN,,04-Mar-2020,60 HIGHLAND DR PORT HOPE ON L1A 3V9
Ops Township,JACK CALLAGHAN COMPASS ELC BEFORE AND AFTER CARE,,,5 TRACEY'S HILL RD LINDSAY ON K9V 4R5
Ops Township,JACK CALLAGHAN PUBLIC SCHOOL- SNP,,,5 TRACEY'S HILL RD LINDSAY ON K9V 4R5
Lindsay,JACKED UP PIZZA,,,153 ANGELINE ST N LINDSAY ON K9V 4X3
Port Hope Municipality,JAKE'S SHAKES,,,10 ROBERTSON ST PORT HOPE Ontario
Cobourg,JAMAICAN PATTY HOUSE,,20-Oct-2020,12 KING ST E COBOURG ON K9A 1K7
Janetville,JANETVILLE COMMUNITY CENTRE,,,693 JANETVILLE RD JANETVILLE ON L0A 1A0
Janetville,JANETVILLE CONVENIENCE,,,293 PIGEON CREEK RD JANETVILLE ON L0B 1K0
Janetville,JANETVILLE FOOD BANK,,08-May-2020,712 JANETVILLE RD JANETVILLE ON L0B 1K0
Warkworth,JEANNINE'S BACK TALK,,27-Jul-2020,9 MAIN ST WARKWORTH ON K0K 3K0
Hastings Village,JIANG'S RESTAURANT,,31-Aug-2020,25 FRONT ST HASTINGS ON K0L 1Y0
Cobourg,JIM'S PIZZA - COBOURG,,,134 KING ST W COBOURG ON K9A 2M5
Port Hope Municipality,JIM'S PIZZA - PORT HOPE,,,22 WALTON ST PORT HOPE ON L1A 1M9
Cobourg,JJ'S STEAK & BURGER,,05-Mar-2020,8 ELGIN ST COBOURG ON K9A 4K5
Lindsay,JOANNE'S PLACE,,,5-84 RUSSELL ST W LINDSAY ON K9V 6A5
Lindsay,JOYCE'S PLACE,,22-Oct-2020,401 KENT ST W LINDSAY ON K9V 4Z1
Brighton,JRS MIDWAY CAFE,,,15379 TELEPHONE RD BRIGHTON ON K0K 1S0
Warkworth,J'S PLACE CHIP TRUCK,,09-Jun-2020,29 CITY RD WARKWORTH ON K0K 3K0
Colborne,JUBALEE BEACH PARK,,,268 WICKLOW BEACH RD COLBORNE ON K0K 1S0
Lindsay,JUDY'S PLACE,,27-Jan-2021,21 WILLIAM ST S LINDSAY ON K9V 3A3
Minden,JUG CITY MINDEN,,27-Apr-2020,12281 HWY 35 MINDEN ON K0M 2K0
Cobourg,JUNGLE HEAT IMPORTS,,,83 KING ST W COBOURG ON K9A 4J8
Cobourg,JUNIOR SET NURSERY SCHOOL,,04-Sep-2020,326 BALL ST COBOURG ON K9A 3J2
Bobcaygeon Village,JUST FOR HALIBUT- TRAILER,,,66 DUKE ST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,JUST FOR THE HALIBUT,,,17 KING ST E BOBCAYGEON ON K0M 1A0
Brighton,JUST LIKE GRANNY'S,,,40-40 PRINCE EDWARD ST BRIGHTON ON K0K 1H0
Kinmount,K & T KAFE,,08-Jan-2021,4075 CTY RD 121 KINMOUNT ON K0M 2A0
Brighton,KAILEYS KAFE,,,6-8 LOYALIST DR BRIGHTON ON K0K 1H0
Minden,KATE'S BURGER COUNTER,,03-Sep-2020,1184 KASHAGAWIGAMOG LAKE RD MINDEN ON K0M 2K0
Bobcaygeon Village,KAWARTHA COFFEE COMPANY,,,49 BOLTON ST BOBCAYGEON ON K0M 1A0
Lindsay,KAWARTHA DAIRY - LINDSAY,,,71 RUSSELL ST W LINDSAY ON K9V 2X1
Minden,KAWARTHA DAIRY - MINDEN,,,12750 HWY 35 MINDEN ON K0M 2K0
Bobcaygeon Village,KAWARTHA DAIRY LTD.,,,89 PRINCE ST W BOBCAYGEON ON K0M 1A0
Lindsay,KAWARTHA LAKES CENTRE OF HOPE,,,104 LINDSAY ST S LINDSAY ON K9V 2M6
Woodville,KAWARTHA LAKES COMMUNITY SALE BARN,,02-Jun-2020,580 WOODVILLE RD WOODVILLE ON K0M 2T0
Ops Township,KAWARTHA LAKES COMMUNITY SALES BARN,,,2138 LITTLE BRITAIN RD LINDSAY ON K9V 4R2
Coboconk,KAWARTHA LAKES FOOD BANK - COBOCONK,,07-May-2020,9 CTY RD 43 COBOCONK ON K0M 2B0
Lindsay,KAWARTHA LAKES FOOD SOURCE,,,50 MARY ST W LINDSAY ON K9V 4R8
Woodville,KAWARTHA SLICES AND MORE,,14-Aug-2020,1401 GLENARM RD WOODVILLE ON K0M 2T0
Lindsay,KAWARTHA WHOLESALE BAKERY,,12-Aug-2020,2 COMMERCE RD LINDSAY ON K9V 5Y4
Laxton,KAY'S PLACE,,,7323 HWY 35 COBOCONK ON K0M 1K0
Colborne,KEELER CENTRE - CANTEEN,,,80 DIVISION ST COLBORNE ON K0K 1S0
Colborne,KEELER CENTRE EMERGENCY SHELTER,,,80 DIVISION ST COLBORNE ON K0K 1S0
Wilberforce,KEITH TALLMAN MEMORIAL ARENA,,19-Jun-2020,2256 LOOP RD WILBERFORCE ON K0L 3C0
Cobourg,KELLY'S HOTEL (HOMELIKE INN),,,205 THIRD ST COBOURG ON K9A 3L5
Lindsay,KELSEY'S,,17-Mar-2020,330 KENT ST W LINDSAY ON K9V 4T7
Havelock Township,KENNISIS LAKE MARINA,,18-Aug-2020,1076 WILKINSON RD HALIBURTON ON K0M 1S0
Lindsay,KENT MINI MART,,,238 KENT ST W LINDSAY ON K9V 2Z2
Campbellford,KENT PUBLIC SCHOOL,,,150 KENT ST CAMPBELLFORD ON K0L 1L0
Campbellford,KENT YMCA BEFORE AND AFTER CARE,,,150 KENT ST CAMPBELLFORD ON K0L 1L0
Port Hope Municipality,KENTUCKY FRIED CHICKEN (KFC),,,121 TORONTO RD PORT HOPE ON L1A 3S6
Cobourg,KENTUCKY FRIED CHICKEN (KFC),,,507 DIVISION ST COBOURG ON K9A 3S3
Lindsay,KENTUCKY FRIED CHICKEN (KFC),,04-Dec-2020,340 KENT ST W LINDSAY ON K9V 4T7
Cobourg,KETCH'S KORNER,,,158 UNIVERSITY AVE W COBOURG ON K9A 2H2
Lindsay,KIDS IN MOTION - BOYS AND GIRLS CLUB OF KAWARTHA LAKES,,26-Feb-2020,107 LINDSAY ST S LINDSAY ON K9V 2M5
Cardiff Township,KIDS OF CANADA NORTH,,06-Aug-2020,7052 LOOP RD HIGHLAND GROVE ON K0L 2A0
Fenelon Township,KILARNEY BAY VARIETY,,14-Aug-2020,1094 KILARNEY BAY RD CAMERON ON K0M 1G0
Minden,KINARK CAMP,,06-Aug-2020,1766 QUEENS LINE RD MINDEN ON K0M 2K0
Lindsay,KING ALBERT PUBLIC SCHOOL,,,49 GLENELG ST W LINDSAY ON K9V 2T9
Brighton,KING EDWARD PARK ARENA,,,75 ELIZABETH ST BRIGHTON ON K0K 1H0
Brighton,KING EDWARD PARK ARENA,,,75 ELIZABETH ST BRIGHTON ON K0K 1H0
Brighton,KING EDWARD PARK ARENA,,,75 ELIZABETH ST BRIGHTON ON K0K 1H0
Bobcaygeon Village,KING'S MINI MART,,,50 KING ST BOBCAYGEON ON K0M 1A0
Somerville Township,KINMOUNT COMMUNITY CENTRE,,,4995 MONCK RD KINMOUNT ON K0M 2A0
Somerville Township,KINMOUNT FISH AND CHIPS,,06-Jul-2020,4080 HWY 121 KINMOUNT ON K0M 2K0
Somerville Township,KINMOUNT INDEPENDENT GROCER SUPERMARKET,,01-May-2020,1 MAIN ST KINMOUNT ON K0M 2A0
Somerville Township,KINVALE RESTAURANT,,06-Jul-2020,4079 CTY RD 121 KINMOUNT ON K0M 2A0
Kirkfield,KIRKFIELD LIONS COMMUNITY CENTRE,,,973 PORTAGE RD KIRKFIELD ON K0M 2B0
Kirkfield,KIRKFIELD RESTAURANT,,28-Oct-2020,991 CTY RD 48 KIRKFIELD ON K0M 2B0
Sherborne Township,KNOX UNITED CHURCH,,,1012 HARVEY AVE E DORSET ON P0A 1E0
Brighton,KOA BRIGHTON - FOOD PREMISE,,12-Jun-2020,15051 TELEPHONE RD BRIGHTON ON K0K 1H0
Dysart Township,KOSY KORNER,,10-Nov-2020,166 HIGHLAND ST HALIBURTON ON K0M 1S0
Minden,KOSY SHACK,,08-Jun-2020,14445 HWY 35 MINDEN ON K0M 2K0
Lindsay,KOUNTRY KITCHEN,,27-Jan-2021,115 KENT ST W LINDSAY ON K9V 2Y4
Stanhope Township,KRISTA'S BAITS N' BITES,,,1588 LITTLE HAWK LAKE RD ALGONQUIN HIGHLANDS ON K0M 1J2
Lindsay,KWIK STOP,,,433 KENT ST LINDSAY ON K9V 6B5
Lindsay,LA MANTIA'S COUNTRY MARKET FRESH,,,50 WILLIAM ST S LINDSAY ON K9V 3A5
Omemee Village,LADY EATON SCHOOL,,12-Mar-2020,17 JAMES ST OMEMEE ON K0L 2W0
Kirkfield,LADY MACKENZIE PUBLIC SCHOOL,,,1746 KIRKFIELD RD KIRKFIELD ON K0M 2B0
Carden Township,LAKE DALRYMPLE RESORT,,27-Jul-2020,230 LAKE DALRYMPLE RD SEBRIGHT ON L0K 1W0
Cobourg,LAKESHORE PENTECOSTAL CAMP - LAKEVIEW TUCK SHOP,,,1405 PENTECOSTAL RD COBOURG ON K9A 4R5
Cobourg,LAKESHORE PENTECOSTAL CAMP - THE GABLES PATIO & CAFE,,,1405 PENTECOSTAL RD COBOURG ON K9A 5J8
Bobcaygeon Village,LAKESIDE CHINESE CUISINE,,12-Jan-2021,44 BOLTON ST BOBCAYGEON ON K0M 1A0
Dysart Township,LAKESIDE CHURCH,,,9 PARK ST HALIBURTON ON K0M 1S0
Guilford Township,LAKESIDE GOLF CLUB,,25-Aug-2020,11524 HWY 118 HALIBURTON ON K0M 1S0
Bobcaygeon Village,LAKESIDE JUG CITY,,,31 KING ST E BOBCAYGEON ON K0M 1A0
Bewdley,LAKESIDE SUPERMARKET,,24-Feb-2020,5082 RICE LAKE DR BEWDLEY ON K0L 1E0
Verulam,LAKEVIEW ARTS BARN,,28-Apr-2020,2300 PIGEON LAKE RD BOBCAYGEON ON K0M 1A0
Fenelon Township,LAKEVIEW COTTAGES & GENERAL STORE,,,429 LONG BEACH RD CAMERON ON K0M 1G0
Dysart Township,LAKEVIEW MOTEL,,24-Sep-2020,4951 CTY RD 21 HALIBURTON ON K0M 1S0
Fenelon Township,LANDINGS MARINA AND RESTAURANT,,,432 LONG BEACH RD CAMERON ON K0M 1G0
Roseneath,LANG'S MARINA & RESORT,,05-Aug-2020,25 LANGS RD ROSENEATH ON K0K 2X0
Fenelon Falls Village,LANGTON PUBLIC SCHOOL,,,35 WYCHWOOD CRES FENELON FALLS ON K0M 1N0
