Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Cobourg,BIG MOUTH FISH & GRILL,,,396 WILLIAM ST COBOURG ON K9A 3A2
Bobcaygeon Village,BIGLEY SWEET TREATS,,,55 BOLTON ST BOBCAYGEON ON K0M 1A0
Omemee Village,BILL'S PIZZA HOUSE INC,,27-Jan-2021,3 KING ST W OMEMEE ON K0L 2W0
Cobourg,BLACK CAT,,03-Mar-2020,4 KING ST W COBOURG ON K9A 2L9
Pontypool,BLACK DIAMOND GOLF COURSE,,,705 PONTYPOOL RD PONTYPOOL ON L0A 1K0
Cramahe Township,BLACK DRESS CATERING,,,1 CHURCH ST COLBORNE ON K0K 1S0
Minden,BLAIRHAMPTON GOLF CLUB,,20-Aug-2020,1557 DUCK LAKE RD MINDEN ON K0M 2K0
Ops Township,BLAKE'S HOTDOGS,,,220 LINDSAY ST S LINDSAY ON K9V 5A6
Roseneath,"BOATHOUSE CAFE, THE",,30-Jul-2020,7100 CTY RD 18 ROSENEATH ON K0K 2X0
Bobcaygeon Village,BOBCAYGEON BAKERY,,17-Nov-2020,9 KING ST E BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOBCAYGEON COMMUNITY CARE,,,71 BOLTON ST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOBCAYGEON CURLING CLUB,,,51 MANSFIELD ST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOBCAYGEON HELPS FOOD BANK,,01-May-2020,48 SHERWOOD AVE BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOBCAYGEON INN,,01-Dec-2020,31 MAIN ST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOBCAYGEON NURSERY SCHOOL,,04-Dec-2020,3 DUKE ST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOBCAYGEON PUBLIC SCHOOL,,,30 BALACLAVA ST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOBCAYGEON SCHOOL AGE CLUB,,11-Dec-2020,30 BALACLAVA ST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOBCAYGEON SENIOR CENTRE,,28-Feb-2020,100 HEAD ST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOBCAYGEON-VERULAM COMMUNITY CENTRE,,,51 MANSFIELD ST BOBCAYGEON ON K0M 1A0
Bobcaygeon Village,BOB'S SUPER DOGS AND SAUSAGES,,26-Jun-2020,41 PRINCE ST E BOBCAYGEON ON K0M 1A0
Lindsay,BOILING OVER'S COFFEE VAULT,,26-Jan-2021,148 KENT ST W LINDSAY ON K9V 2Y4
Bobcaygeon Village,BOLTON LTD,,,72 BOLTON ST BOBCAYGEON ON K0M 1A0
Dysart Township,BONNIE VIEW INN,,24-Aug-2020,2713 KASHAWIGAMOG LAKE RD HALIBURTON ON K0M 1S0
Minden,BOSHKUNG BREWING - FOOD TRUCK,,14-Sep-2020,200 WATER ST MINDEN ON K0M 2K0
Minden,BOSHKUNG BREWING COMPANY,,,9201 HWY 118 MINDEN ON K0M 1J2
Lindsay,BOSTON PIZZA,,16-Oct-2020,435 KENT ST W LINDSAY ON K9V 6K5
Cobourg,BOSTON PIZZA,,27-May-2020,1111 ELGIN ST W COBOURG ON K9A 5H7
Dunsford,BOYS AND GIRLS CLUB DUNSFORD,,,33 DUNSFORD RD DUNSFORD ON K0M 1L0
Lindsay,BOYS AND GIRLS CLUBS OF KAWARTHA LAKES,,26-Feb-2020,107 LINDSAY ST S LINDSAY ON K9V 2M5
Woodville,BRICK OVEN RESTAURANT,,20-Oct-2020,97 KING ST WOODVILLE ON K0M 2T0
