Facility Name,Site Address,Last Inspection Date
Lam's Restaurant,2 Stover St N Norwich ON N0J 1P0,10/08/2020
Le Café Siam,392 Talbot St St. Thomas ON N5P 1B8,08/06/2020
Legends Tavern,600 Talbot St St Thomas ON N5P 1C7,
Lighthouse Restaurant & Pub,"36 Robinson Street, PO Box 275 Port Burwell ON N0J 1T0",
Lotus Thai Restaurant,295 Talbot St St. Thomas ON N5P 1B5,
Louie's Pizza,440 Bell St Ingersoll ON N5C 2P6,09/28/2020
Lucky Kitchen,515-517 Talbot St St Thomas ON N5P 1C3,
Lucky Kitchen,517 Talbot St St. Thomas ON N5P 1C3,
Mackie's,124 William St Port Stanley ON N5L 1E1,
Mad Hatters Tea Room,47272 Talbot Line St. Thomas ON N5P 3S7,
Mancari Restaurant,186 Currie Rd Dutton ON N0L 1J0,
Mango Salad,95 Thames St S Ingersoll ON N5C 3C6,12/30/2020
Mark's Chop Suey,296 Dundas St Woodstock ON N4S 1B3,12/11/2020
Mary Brown's Chicken & Taters,1-547 Norwich Ave Woodstock ON N4V 1C7,12/01/2020
McDonalds,200 Talbot St W Aylmer ON N5H 1K1,
McDonald's,120 Thames St N Ingersoll ON,
McDonald's,170 Simcoe St Tillsonburg ON N4G 4Z6,
McDonald's,980 Dundas St Woodstock ON N4S 1H3,
McDonald's,955 Talbot St St Thomas ON N5P 1E8,09/10/2020
McDonald's,499 Norwich Ave Woodstock ON N4S 3W4,
McDonald's,507 Norwich Ave Woodstock ON N4S 9A2,04/20/2020
McDonald's (Wal-Mart),1063 Talbot St St. Thomas ON N5P 1G4,12/08/2020
Mel's Fish & Chips,360 Dundas St Woodstock ON N4S 1B7,
Mer's Beach Pub,3360 Imperial Rd Port Bruce ON N0L 2J0,
Michael's Roadhouse Bar & Grill,500 Norwich Ave Woodstock ON N4S 3W5,12/21/2020
Michael's Roadhouse Bar & Grill,500 Norwich Ave Woodstock ON N4S 3W5,
Mill Tales Inn Inc,20 John Pound Rd Tillsonburg ON N4G 0B9,12/10/2020
Ming's Restaurant,102 Tillson Ave Tillsonburg ON N4G 3A1,12/09/2020
Miss Ingersoll Family Restaurant,107 Thames St S Ingersoll ON N5C 2T3,09/02/2020
Miss Woodstock Restaurant,656 Dundas St Woodstock ON N4S 1E3,12/17/2020
Montana's Bbq and Bar,511 Norwich Ave Woodstock ON N4S 9A7,10/20/2020
Mr Sub,475 Norwich Ave Woodstock ON N4S 9A2,
Mr Sub,930 Talbot St St. Thomas ON N5P 1E7,
Mucho Burrito,4-547 Norwich Ave Woodstock ON N4V 1C7,11/25/2020
My Friend's Place,19 Burtch St Woodstock ON N4S 3M3,
Nectar Coffee & Bar,111 Broadway St Tillsonburg ON N4G 3P5,
New Bamboo Garden Buffet,327 Norwich Ave Woodstock ON N4S 3W1,
New Sarum Diner,46230 New Sarum Line St. Thomas ON N5P 3S7,
Nha Trang Cafe,21 Ridout St W Tillsonburg ON N4G 2C9,
Norma's Coffee Bar,6 Main St W Norwich ON N0J 1P0,
Off the Rails Bistro Inc,144 Dundas St Woodstock ON N4S 1A2,
Old School Pizza Co.,1-9 Princess Ave St Thomas ON N5R 3V3,12/11/2020
"Olde Bakery Cafe,The",120 Thames St S Ingersoll ON N5C 2T4,10/08/2020
Ollee's Bar and Eatery,146 Fifth Ave St. Thomas ON N5R 4E7,
ONT Express,401223 Hwy 401 Ingersoll ON N5C 3K1,
Open Kitchen,2-877 Talbot St St. Thomas ON N5P 1E5,
Osmow's,3-547 Norwich Ave Woodstock ON N4S 3W5,11/11/2020
Out to Lunch,224 Graham Rd West Lorne ON N0L 2P0,03/11/2020
Oxford Grill Inc.,685737 Hwy 2 Woodstock ON N4S 7V9,10/01/2020
Palmer's Maple Syrup Restaurant,34308 Lake Line Port Stanley ON N5L 1J1,02/25/2020
Pam's Family Restaurant,43 Ross St St Thomas ON N5R 3X6,
Pancake House,815 Juliana Dr Woodstock ON N4V 1A7,11/20/2020
"Perk, The",417 Wellington St St. Thomas ON N5R 5J5,
Pho Binh Thanh,882 Dundas St Woodstock ON N4S 1G7,10/27/2020
Pho Vn Restaurant,43 Oxford St Tillsonburg ON N4G 2G4,12/15/2020
Piccadilly Square,455 Dundas St Woodstock ON N4S 1C2,
Pierside Pub,158 William St Port Stanley ON N5L 1E4,
Pita Pit,1-360 Norwich Ave Woodstock ON N4S 3W2,
Pita Pit,2-174 Culloden Rd Unit 2 Ingersoll ON N5C 3R2,
"Pita Pit, The",211 Broadway St. Tillsonburg ON N4G 3R2,
Pizza Hut,168 Simcoe St Tillsonburg ON N4G 4Z6,
Pizza Hut,985 Talbot St St. Thomas ON N5P 1E9,07/10/2020
Pizza Pizza,609 Dundas St Woodstock ON N4S 1C3,
Pizza Tonite,296 Wellington St St. Thomas ON N5R 2S9,
Popeyes Louisiana Kitchen,709 Dundas St Woodstock ON N4S 6Z2,10/28/2020
"Port Bruce Pier, The",3143 Colin St Port Bruce ON N5H 2R2,
"Pub at Norwich Ave, The",305 Norwich Ave Woodstock ON N4S 1B5,11/27/2020
Quality Hotel & Suites Woodstock - Ody's Restaurant Lounge & Patio,580 Bruin Blvd Woodstock ON N4V 1E5,
Queen's Cafe,154 Broadway St. Tillsonburg ON N4G 3P8,11/17/2020
Quehl's,33 Woodstock St S Tavistock ON N0B 2R0,
Quesada Burritos & Tacos,978 Dundas St Woodstock ON N4S 1H3,
R & J Family Restaurant,105 Dundas St E Thamesford ON N0M 2M0,
Rail City Bistro,599 Talbot St St Thomas ON N5P 1C6,
Royal Canadian Legion - STICH Supper Club,211 Thames Street N Ingersoll ON N5C 3E3,
"Royal Turban, The",443 Norwich Ave Woodstock ON N4S 3W4,08/20/2020
Ruby's Cookhouse,583 John St N Aylmer ON N5H 2B6,10/22/2020
Sally Creek Golf,B-190 Fairway Rd Woodstock ON N4T 1W3,
Sammy Krenshaw's,51 Broadway St Tillsonburg ON N4G 3P4,
Sam's Diner & Pizza,178 Main St. West Lorne ON N0L 2P0,09/01/2020
Sam's Place,43 Ross Street St. Thomas ON N5R 3X6,08/24/2020
Savanna's Garden & Tea,109 Talbot St W Aylmer ON N5H 2T8,
Scotty's Family Restaurant,92 Simcoe St Tillsonburg ON N4G 2J1,
Shaker's Family Restaurant,63 Albert St Plattsville ON N0J 1S0,10/28/2020
Shannon's Country Diner,222 Furnival Rd Rodney ON N0L 2C0,02/14/2020
