Inspection Result,Facility Name,Site Address,Last Inspection Date
,Maipai,629 Barton St E Hamilton,11-Nov-20
,Maisy`s Pearl Oysters,123 James ST.N Hamilton,16-Jun-20
,Mama Africa Tropical Food,424 Cannon St E Hamilton ON L8L 2C6 Canada,06-Dec-19
,"Mami's Authentic Spices Inc, Plate # 417",80-1489 Heritage Way Oakville ON L6M 4M7 Canada,
,Manchu Wok,999 Upper Wentworth St Hamilton ON L9A 4X5 Canada,11-Nov-20
,Mandarin,1508 Upper James St Hamilton ON L9B 1K3 Canada,15-Oct-20
,Mango Kitchen,1-35 King St E Hamilton ON L8N 1B2 Canada,07-Oct-20
,Manna Korean Takeout,1050 King St W Hamilton ON L8S 1L5 Canada,24-Sep-20
,Maple Crest Manor,904 King St E Hamilton ON L8M 1B7 Canada,04-Nov-20
,Maple Grove Trailer Pk -W,Puslinch-1488 Gore Rd Flamborough ON N0B 2J0 Canada,25-Jul-19
,Maple Leaf Pancake House,1520 Main St W Hamilton ON L8S 1E3 Canada,29-Sep-20
,Maplewood Cafe,88 Maplewood Av Hamilton ON L8M 1W9 Canada,11-Jan-21
,Maplewood Grocery,150 Maplewood Ave Hamilton ON L8M 1X4 Canada,11-Apr-19
,Marble Slab Creamery,1550 Upper James Hamilton ON L9B 2L6 Canada,30-Oct-20
,Marciano's Pasta Café,5 Mill St S Waterdown ON L0R 2H0 Canada,22-Nov-19
,Marci's Bakery,1-221 BARTON ST STONEY CREEK ON L8E 2K3 Canada,18-Nov-20
,Maria's Fifty's Diner,931 Queenston Rd Stoney Creek ON L8S 1B8 Canada,18-Aug-20
,Maria's Tortas Jalisco,432 Hamilton Regional Rd 8 Hamilton ON L8G 1G3 Canada,10-Nov-20
,Marigold's Maplesyrup,35 York Blvd Hamilton,10-Nov-20
,Marino's Pizza,601 Upper James St Hamilton ON L9C 2Y7 Canada,27-Jan-21
,Mario's 2 for 1 Pizza,1016 King St E Hamilton ON L8M 1C8 Canada,18-Nov-20
,Mario's Pizza & Wings,171 Mohawk Rd E Hamilton ON L9A 2H4 Canada,17-Nov-20
,Market in the Creek,40-44 King Street East Stoney Creek ON L8G 1K1 Canada,22-Aug-19
,Mark's Chinese Food & Tavern,468 King St W. Hamilton ON L8P 1B7 Canada,26-Nov-20
,Marquis Gardens - Hamilton,1050 Rymal Rd E Hamilton ON L9W 3N6 Canada,09-Nov-20
,Marquis Gardens Grande Ancaster Bistro and Banquet Hall,1365 Sandhill Dr ANCASTER ON L9G 4V5 Canada,09-Nov-20
,Marshalls,Bldg C-1161 Barton St E Hamilton ON Canada,06-Feb-20
,Marshalls,Unit 2-60 Martindale Cres ANCASTER ON L9K 1J9 Canada,26-Oct-18
,Marshalls,1405 Upper James Hamilton ON Canada,19-Jul-19
,Martello Restaurant,298 James St. N Hamilton Ontario L8R 2K1 Canada,02-Oct-20
,Mary Brown's,1090 Wilson St. W. Ancaster ON L9G 3K9 Canada,21-Jan-21
,Mary Brown's Famous Chicken & Taters,118 Centennial Pkwy. N. Stoney Creek - Lower ON L9C 1C2 Canada,31-Aug-20
,Masala Corner - Best Indian Cuisine,807 Main St W Hamilton ON L8S 1A2 Canada,16-Oct-20
,Master Coffee,144 Emerson Street Hamilton ON L8S 2X9 Canada,19-Dec-19
,Master M Spicy,1A-1686 Main St. W. Hamilton ON L8S 0A2 Canada,11-Sep-20
,Mastermind Toys,8-803 Golf Links Rd ANCASTER ON L9K 1L5 Canada,21-Feb-19
,Mastermind Toys,2180 Rymal Rd E Hamilton ON L0R 1C0 Canada,26-Sep-19
,Mattina Pizzeria,104 Cannon St E Hamilton ON L8L 2A3 Canada,29-Jan-21
,Mattson & Co,225 Locke St S Hamilton ON L8P 4B6 Canada,24-Nov-20
,Maves Variety,227 James St N Hamilton ON L8R 2L2 Canada,04-Dec-20
,Maxwell's Retirement Home,274 Bay St S Hamilton ON L8P 3J6 Canada,30-Sep-20
,May Fresh Cut Fries - Refreshment Vehicle - Plate #098 (#239 old plate number),770 Upper James St Hamilton ON L9C 3A2 Canada,21-Jul-20
,May`s Sushi Bar,65 Mall Rd Hamilton ON L8V 5B8 Canada,09-Sep-20
,Mberry Canada Plate # 094,28 Sedgebrook Ave Stoney Creek ON L8E 6E9 Canada,09-Sep-20
,McDonalds,20 Rymal Rd E Hamilton ON L9B 1T7 Canada,14-Aug-20
,McDonald's,1015 Golf Links Rd Ancaster ON L9G 3K9 Canada,09-Feb-21
,McDonald's,90 Dundas St E Flamborough ON L0R 2H6 Canada,17-Nov-20
,McDonald's,10 Cootes Dr Dundas ON L9H 1A9 Canada,09-Dec-20
,McDonald's,674 Queenston Rd Hamilton ON L8G 1A1 Canada,27-Oct-20
,McDonald's,115 Hamilton St N Waterdown ON L0R 2H6 Canada,09-Sep-20
,McDonald's,852 Upper Gage Ave Hamilton ON L8V 4K6 Canada,16-Oct-20
,McDonald's,21 Upper Centennial Pkwy Stoney Creek ON L8G 2B8 Canada,11-Nov-20
,McDonald's,2190 Rymal Rd E Glanbrook ON L0R 1P0 Canada,07-Dec-20
,McDonald's,787 Barton St E Hamilton ON L8L 3B2 Canada,12-Nov-20
,McDonald's,1268 King St E Hamilton ON L8N 1G8 Canada,26-Jan-21
,McDonald's,970 Upper Wentworth St Hamilton ON L9A 4V9 Canada,28-Jan-21
,McDonald's,385 Highway No. 8 Stoney Creek ON L3G 5A2 Canada,20-Jan-21
,McDonald's,1736 Stone Church Rd E Hamilton ON L8J 0B4 Canada,22-Jun-20
,McDonald's - Walmart,675 Upper James St Hamilton ON L9C 6Y3 Canada,13-Jan-21
,McDonald's - Wal-Mart,1051 Garner Rd W ANCASTER ON L9G 3K9 Canada,09-Feb-21
,McDonald's #10480,50 Dundurn St S Hamilton ON L8P 4W3 Canada,18-Sep-20
,McDonald's (Walmart Super Center),500 Centennial Pkwy North. Hamilton ON L8E 0G2 Canada,06-Mar-20
,McDonalds Restaurants,1175 Wilson St W Ancaster ON Canada,08-Feb-21
,McMaster - Booster Juice,"1280 Main St West, Student Hamilton ON L8S 1K4 Canada",23-Jan-20
,McMaster - Always Fresh - Tim Horton's,"1280 Main St., W., Scourage Bl Hamilton ON L8S 4K1 Canada",29-Jan-20
,McMaster - Bistro 2 Go,1280 Main St W Keyes Res-Bldg Hamilton ON L8S 4K1 Canada,23-Jan-20
,McMaster - Booster Juice,"1280 Main St. W, Engineering Technology Bldg. Hamilton ON L8S 4K1 Canada",23-Jan-20
,McMaster - Bymac/Booster Juice,"1280 Main St. W., D. Bradley C Hamilton ON L8S 4K1 Canada",23-Jan-20
,McMaster - Celebration Hall (Paradise Catering),1280 Main St W Hamilton ON L8S 4K1 Canada,03-Jan-20
,McMaster - Centro@Commons,"1280 Main St W., Commons Bldg Hamilton ON L8S 3K1 Canada",01-Oct-20
,McMaster - Chatime Hamilton INC.,1280 Main St W Student Centre Basement Level Hamilton,29-Jan-20
,McMaster - DSB Bistro,"1280 Main St W, DeGroote School Hamilton ON L8S 4L8 Canada",23-Jan-20
,McMaster - East Meets West Bistro,1280 Main St W-Keyes Res. Bldg Hamilton ON L8S 4K1 Canada,23-Jan-20
,McMaster - Eggcetera,1280 Main St W Student Centre Hamilton ON L8S 4K1 Canada,01-Oct-20
,McMaster - Fireball,"1280 Main St W., JH Engineering Hamilton ON L8S 4K1 Canada",23-Jan-20
,McMaster - IAHS Cafe,1280 Main St W - IAHS Building Hamilton ON L8S 4K1 Canada,23-Jan-20
,McMaster - Starbucks -Student Centre,"1280 Main St W, Student Centre Hamilton ON L8S 3K1 Canada",23-Jan-20
,McMaster - The Chopped Leaf,1280 MAIN ST W COMMONS 116 . HAMILTON ON L8S 4K1 Canada,03-Jan-20
,McMaster - Tim Hortons - Student Centre,"1280 Main St W., Student Cente Hamilton ON L8S 4K1 Canada",23-Jan-20
,McMaster - Tim Hortons (Bistro 2 Go),"1280 Main St W, Keyes Res. Bldg Hamilton L8S ON Canada",23-Jan-20
,McMaster - Twelveighty/The Grind Cafe,1280 Main St W Hamilton ON Canada,11-Aug-20
,McMaster - Union Market,1280 Main St W Student Center Hamilton ON L8S 4K1 Canada,01-Oct-20
,McMaster- Bridges Rest.,"1280 Main St W., The Refectory Hamilton ON L8J 4K1 Canada",23-Jan-20
,McMaster- Café One- Tim Hortons,"1280 MAIN ST W., DeGroote Lear HAMILTON ON L8S 4K1 Canada",23-Jan-20
,"McMaster- Caffeine, The Elements, Burke Science Building",1280 Main St W Hamilton ON L8S 4K1 Canada,23-Jan-20
,McMaster Esso,1445 Main St W Hamilton ON L8S 1J8 Canada,04-Jun-19
,McMaster- Global Comfort Foods,1280 Main St W.- Student Ctr. Hamilton ON L8S 4K1 Canada,01-Oct-20
,McMaster- Hammertown Deli,1280 Main St W.- Student Ctr. Hamilton ON L8S 4K1 Canada,01-Oct-20
,McMaster- La Piazza,"1280 Main St W., Student Ctr. Hamilton ON L8S 4K1 Canada",01-Oct-20
,McMaster Med Ctr -Baywest Cafe,1200 Main St W Hamilton ON L8S 4J9 Canada,07-Oct-20
,McMaster Medical Centre -- Corner Cafe,1200 Main St W Hamilton ON L8S 4J9 Canada,07-Oct-20
,McMaster Medical Centre- (Gift Shop),1200 Main St W Hamilton ON L8S 4J9 Canada,11-Mar-20
,McMaster- Paradise Catering,1280 Main St W.- Student Ctr. Hamilton ON L8S 4K1 Canada,01-Oct-20
,McMaster- Phoenix Bar & Grill,1280 Main St.W (Refectory) Hamilton ON L8S 4K1 Canada,23-Jul-20
,McMaster- Pizza Pizza,1280 Main St W.- Student Ctr. Hamilton ON L8S 4K1 Canada,01-Oct-20
,McMaster- Simpl,1280 Main St.W.- Student Ctr Hamilton ON L8S 4K1 Canada,01-Oct-20
,McMaster- The Reactor - Thode Library,1280 Main St W Hamilton ON L8S Canada,23-Jan-20
,McMaster- University Club,1280 Main St W- Alumni Memorial Hal Hamilton ON L8S 4K1 Canada,06-Oct-20
,McMaster-Second Cup,1280 Main ST W Peter George Build Hamilton ON L8S 4K1 Canada,23-Jan-20
,McMaster-Teriyaki Experience,1280 Main St. W.- Student Ctr Hamilton ON L8S 4K1 Canada,23-Jan-20
,McMaster-The Grill,1280 Main St. W Student Center Hamilton ON L8S 4K1 Canada,01-Oct-20
,McMaster-William's Fresh Cafe,1280 Main St W -Health Science Ctre Hamilton ON Canada,23-Jan-20
,McQueen's,85-103 Queen St N Hamilton ON L8R 2V5 Canada,28-Oct-20
,McQuesten Community Centre,785 Britannia Ave Hamilton - Downtown (East) ON L8H 2B6 Canada,11-Mar-20
,McSushi,1-418 Whitney Ave Hamilton ON L8S 2H8 Canada,24-Sep-20
,Meadowlands Retirement Residence,1248 Mohawk Rd ANCASTER ON L9K 1P5 Canada,08-Feb-21
,Meadows LTC,12 Tranquility Ave ANCASTER ON L9G 5C2 Canada,27-Oct-20
,Meatball Shoppe- Plate 263,Mobile Hamilton ON Canada,
,Medina Fine Foods,581 Concession St Hamilton ON L8V 1B2 Canada,20-Jul-20
,Mega Family Convenience Inc.,195 John Sreet N Hamilton ON L8L 4P4 Canada,10-Feb-20
,Mega Subs,2137 King St E Hamilton ON L8V 1W5 Canada,29-Jan-21
,Melton Variety,45 Melvin Ave Hamilton ON L8H 2J3 Canada,03-Feb-20
,Meltwich Food Co.,1324 Barton St. E Hamilton Ontario L8H 2W1 Canada,25-Jan-21
,Meltwich Food Co.,236 King Street West Hamilton ON L8P 1A9 Canada,29-Jan-21
,MELTWICH FOOD CO.,1374 SOUTH SERVICE RD STONEY CREEK,
,Memorial Elementary Schoo,1175 Main St E Hamilton ON L8M 1P3 Canada,26-Nov-20
,Memphis Fire Barbeque Company (Mobile) Plate # 030 (Old Plate 380),1091 Highway 8 Stoney Creeek ON L8E 5H8 Canada,29-Oct-20
,Memphis Fire Barbeque Company Inc.,1091 Hwy 8 Stoney Creek ON Canada,29-Oct-20
,Mercury Wholesale - Food,Liuna Stat-360 James St N Hamilton ON L8L 1H5 Canada,24-Aug-18
,Merit Brewing Company Inc,107 James St N Hamilton ON L8R 2K6 Canada,13-Aug-20
,Merk Snackbar Inc,189 Ottawa St. N Hamilton Ontario L8H 3Z4 Canada,28-Jan-21
,Mesa Authentic Mexican Cuisine,255 James St N Hamilton ON L8R 2L2 Canada,22-Jan-21
,Metro,15 Governor's Rd Dundas ON L9H 6L9 Canada,15-Jan-21
,Metro,1161 Barton St E Hamilton - Downtown (East) ON L8H 2V4 Canada,14-Jan-21
,Metro,1370 South Service Rd STONEY CREEK,20-Nov-20
,Metro,967 Fennell Ave E Hamilton ON L8T 1R1 Canada,15-Dec-20
,Metro - Supermarket,1900 King St E Hamilton ON L8K 1W1 Canada,19-Jan-21
,Mexican Bowl Inc.,2609 Eglinton Ave Toronto ON M1K 2S2 Canada,
,Mexican Kitchen,35 York Blvd Hamilton ON L8R 3K1 Canada,20-Oct-20
,Mezcal Tacos & Tequila Inc,150 James St S Hamilton ON L8P 3A2 Canada,04-Feb-21
,Mezza Caffe,104-28 James St N Hamilton ON L8R 2K1 Canada,12-Nov-20
,Mi Pho Song Vu Inc,1070 Stone Church Rd E Hamilton ON L8W 3K8 Canada,17-Jan-20
,Miceli Family Bakery,507 Barton St Stoney Creek ON L8E 2L7 Canada,19-Jan-21
,Michaels,"1267 Barton ST.E Bldg F, HAMILTON",02-Jan-20
,MICHAELS STORE,14 MARTINDALE CRES ANCASTER,
,Michaels Store,1779 STONE CHURCH RD E Stoney Creek,
,Michelangelo Events & Conference Centre,1555 Upper Ottawa Hamilton ON L8W 3E2 Canada,08-Oct-20
,Mickey McGuire's Cheese,2 King St W Hamilton ON L8P 1A1 Canada,15-Dec-20
,Mickey's Jamaican Jerk,12-625 Greenhill Ave Hamilton Ontario L8K 5N8 Canada,07-Oct-20
,Midfield Interactive,"11 Sydenham, Dundas ON",
,Midfield Interactive Corp.,11 Sydenham St Dundas Ontario L9H 2T5 Canada,07-Jul-20
,Mighty Mike's,96 Main St E Hamilton ON L8N 1G3 Canada,29-Jul-20
,Mikel Coffee,1008 King St W Hamilton ON L8S 1L4 Canada,11-Jan-21
,Mike's Submarine,1004 Upper James St Hamilton ON L9C 3A8 Canada,22-Oct-20
,Mike's Submarine,1050 Upper Gage Ave Hamilton ON L8V 4R5 Canada,25-Aug-20
,Mike's Submarine (fennell,1104 Fennell Ave E Hamilton ON L8T 1S1 Canada,15-Sep-20
,Mike's Submarines,122 Ottawa St N Hamilton ON L8H 3Z1 Canada,09-Feb-21
,Mike's Subs,90 Wellington St N Hamilton ON L8N 2R2 Canada,08-Jan-21
,Milestones,771 Golf Links Road Ancaster ON L9K 1L5 Canada,15-Jun-20
,MILESTONES,"787 PARAMOUNT DR Bldg B, STONEY CREEK",25-Sep-20
,Mill Street & Five American House,324 Dundas St E Waterdown ON L0R 2H0 Canada,12-Aug-20
,Millgrove Community Centre,855 Millgrove Side Rd Flamborough ON L0R 1V0 Canada,09-Apr-19
,Millgrove General Store,338 Concession 5 W Flamborough ON L0R 1V0 Canada,28-Feb-19
,Mills Convenience Store,205 Melvin Ave Hamilton ON L8H 2J9 Canada,28-Jan-21
,Mill's Hardware,95 King St E Hamilton ON L8N 1A9 Canada,07-Feb-20
,Mini Food Mart,220 Locke St S Hamilton ON L8P 4B7 Canada,02-Dec-19
,Miniso Canada Store Eleven,"999 Upper Wentworth St., Unit 204A Hamilton ON L9A 4X5 Canada",31-Aug-20
,Mint Restaurant & Lounge,200 Centennial Pkwy N Hamilton ON L8E 4A1,20-Oct-20
,Miss Lyn's,677 King St E Hamilton ON L8M 1A3 Canada,28-Oct-20
,Miss Missy's Hot Dogs Plate # 357,1454 Shaver Rd Ancaster,29-Nov-18
,Mission Services - Cafeteria,309 James St N Hamilton - Downtown (Centre) ON L8L 1H3 Canada,14-Oct-20
,Mission Services Community Kitchen,196 Wentworth St N Hamilton ON L8L 5V7 Canada,04-Sep-20
,Mission Services Emergency Food Assistance Program,196 Wentworth St N Hamilton ON L8L 5V7 Canada,04-Sep-20
,Mississippi Queen Foods,635 King St E Hamilton ON Canada,12-Nov-20
,MMJ Canada,146 Ottawa St N Hamilton ON L8H 3Z3 Canada,17-Oct-18
,MMJ Canada,118 George St Hamilton ON Canada,
,Mobile Gas,856 Upper Sherman Ave Hamilton ON L8V 3N1 Canada,29-Oct-20
,Mode Hospitality Inc.,67 Concession 5 E Waterdown ON Canada,18-Jul-20
,MODERN DESIGN STUDIO INC.,215 LOCKE ST.S HAMILTON,19-Jan-21
,Modrn Nightclub,15 Hess St S Hamilton ON L8P 3M7 Canada,15-Mar-19
,Moez Discount and Liquidation,9-969 Upper Ottawa Street Hamilton ON Canada,11-Jan-21
,Mohawk College - 2Mato,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,19-Sep-19
,Mohawk College - Arnie's,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,19-Sep-19
,Mohawk College - Breakfast and Lunch Club,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,19-Nov-19
,Mohawk College - Brewed Awakenings,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,23-Oct-20
,Mohawk College - Cellar,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,19-Sep-19
,Mohawk College - Food Court Kitchen,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,19-Nov-19
,Mohawk College - Fuel Station,135 Fennell Ave W HAMILTON ON L8N 3T2 Canada,17-Sep-20
,Mohawk College - International News,135 Fennell Ave W Hamilton ON L9C 1E9 Canada,19-Nov-19
,Mohawk College - Pizza Pizza,135 Fennell Ave W HAMILTON ON L8N 3T2 Canada,19-Nov-19
,Mohawk College - Smoke's Poutinerie,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,19-Sep-19
,Mohawk College - Starbucks,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,26-Jun-19
,Mohawk College - Subway,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,19-Nov-19
,Mohawk College - Tim Hortons,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,17-Sep-20
,Mohawk College - Tim Hortons Express,135 Fennell Ave W HAMILTON ON L8N 3T2 Canada,19-Nov-19
,Mohawk College - Urban Fork,135 Fennell Ave W Hamilton ON L8N 3T2 Canada,23-Oct-20
,Mohawk College- Bento Sushi,135 Fennell Ave W Hamilton ON L9C 1E9 Canada,19-Nov-19
,Mohawk College Cafe,481 Barton Street Stoney Creek ON L8E 2L7 Canada,15-Sep-20
,Mohawk Student Association - Booster Juice,135 Fennell Ave W Hamilton ON L9C 0E5 Canada,19-Nov-19
,Mohawk Student's Association Prep Kitchen,135 Fennell Ave. West Hamilton ON L9C 0E5 Canada,19-Sep-19
,Monello,Unit 26-263 Barton St Stoney Creek ON L8E 2K4 Canada,27-Aug-20
,Monstylefile,804 King St W Hamilton,07-Aug-20
,Montana's,119 OSLER DR DUNDAS,
,Montana's BBQ & Bar,1508 Upper James St - Unit 203 Hamilton ON L9B 1K3 Canada,25-Nov-20
,Montana's Cookhouse,"815 Paramount Drive, Building ""C"" Hamilton ON L8J 0B4 Canada",15-Jan-21
,Montfort Express,Bldg.L-1275 Barton St E Hamilton ON L8H 2V4 Canada,13-Jan-21
,Montfort Grill House,35 Stone Church Rd Ancaster ON L9K 1S5 Canada,26-Aug-20
,Montfort Grill House Waterdown,3-6 Clappison Ave Waterdown ON L0R 2H2 Canada,11-Nov-20
,Montfort Hamilton,1508 Upper James St Hamilton ON L9B 1K3 Canada,17-Dec-20
,Montgomery Lodge - Unicare/ Maple Retirement,1605 Main St E Hamilton ON L8H 1C4 Canada,23-Oct-20
,Moody's,107 George St Hamilton ON L8P 1E3 Canada,12-Aug-20
,Morden's Organic Farm Store,801 Collinson Rd Flamborough ON L9H 5E2 Canada,02-Dec-20
,Mo's Cafe - Student Residence,245 Fennell Ave W Hamilton ON L9C 0E5 Canada,23-Oct-20
,Mosaic,431 Barton St. E Hamilton Ontario L8L 2Y5 Canada,16-Jul-20
,Motel Kitchen & Bar Ltd.,359 Barton Street East Hamilton ON L8L 2X8 Canada,08-Sep-20
,Mother's Vietnamese Kitchen,145 Barton St E Hamilton ON L8L 8A8 Canada,03-Dec-20
,Mouneh House,1120 Upper Sherman Ave Hamilton ON L8W 3W1 Canada,03-Feb-21
,Mount Albion FoodLand,399 Greenhill Ave Hamilton ON L8K 6N5 Canada,27-Jan-20
,Mount Mary Retreat Centre,437 Wilson St E ANCASTER ON L9G 3K4 Canada,15-Oct-20
,Mountain Grill,1065 Highway 8 Stoney Creek ON L8E 5H8 Canada,09-Sep-20
,Mountain Lanes,335 Upper Wentworth St Hamilton ON L9A 4T4 Canada,25-Nov-20
,Mountain Market,30 Rymal Rd E Hamilton ON L9B 1B9 Canada,23-Dec-20
,Mountsberg Community Centre,2133 Centre Rd Flamborough ON L9T 2X6 Canada,03-Apr-19
,Mountsberg Conservation Area - Discovery Centre Store,2259 Milburough Line Campbellville ON L0P 1B0 Canada,11-Mar-19
,Mountsberg Conservation Area - Pancake House,2259 Milburough Line Campbellville ON L0P 1B0 Canada,30-Sep-20
,Mountsberg Conservation Area - Rental Hall,2259 Milburough Line Flamborough ON L0P 1B0 Canada,27-Feb-19
,Moxie's Grill and Bar,560 Centennial Parkway N Hamilton L8E 0G2,02-Nov-20
,Mr Chicken Shawarma,800 Queenston Rd #14 Stoney Creek ON L8G 1A7 Canada,10-Feb-21
,MR Dumpling Express,50 Dundurn St S Hamilton ON L8P 4W3 Canada,30-Sep-20
,Mr Sub,168 Barton St Stoney Creek ON L8E 4V6,14-Oct-20
,Mr. Finger Lick'n Kitchen,1247 Main Street East Hamilton ON L8K 1A8 Canada,28-Sep-20
,Mr. Frostee Freeze - Plate#071 (Old Plate #095),2237 Rymal Rd E Hamilton ON Canada,27-Jun-18
,Mr. Frostee Freeze Plate 056,2237 Rymal Rd E Hamilton ON Canada,
,Mr. Gao Chinese Restaurant,1561 Main St W. Hamilton ON L8S 1E6 Canada,28-Sep-20
,Mr. Grande Pizza,1157 Rymal Rd E Hamilton ON L8W 3M6 Canada,27-Oct-20
,Mr. Liquidation,869 Barton St E HAMILTON,
,Mr. Sub,16-64 Hamilton St N Waterdown ON L0R 2H6 Canada,05-Nov-20
,Mr. Sub,478 King St E Hamilton ON L8N 1C8 Canada,04-Nov-20
,Mr. Sub,2 King St W Hamilton ON L8P 1A1 Canada,17-Jul-20
,Mr. Sub,963 Rymal Rd E Hamilton ON L8W 3M2 Canada,22-Jan-21
,Mr. Sub,1144 Main St W Hamilton ON L8G 4X8 Canada,18-Sep-20
,Mr. Sub,237 Parkdale Ave N Hamilton ON L8H 5X4 Canada,21-Jan-21
,Mr. Tian,111 King St E Hamilton,14-Feb-20
,"Mr. Yum Ice Cream , Plate 027",71 Pinelands Ave Stoney Creek ON L8E 3A8 Canada,24-Jun-20
,Mr.Pretzels,999 Upper Wentworth Str. Hamilton,06-Oct-20
,MRS GREENWAY,3-2 KING STREET. W DUNDAS ON L9H 7B4 Canada,09-Feb-21
,Mucho Burrito,413D-999 Upper Wentworth Street Hamilton ON L9A 4X5 Canada,15-Jan-21
,Mucho Burrito,Unit 251-1508 Upper James St Hamilton ON L9B 1K3 Canada,13-Jan-21
,Mucho Burrito Fresh Mexican Grill,516 Centennial Prkwy N Hamilton ON Canada,25-Sep-20
,Mulberry Street Coffeehouse,193 James st N Hamilton ON L8R 2L2 Canada,29-Jan-21
,Multy Tradition Meats and Deli,35 York Blvd. Hamilton ON Canada,16-Jul-20
,Mumma's Burritos,8-700 Queenston Rd Hamilton L8G 1A3 Canada,18-Jan-21
,Munchie's Coffee House & Barkery,1000 Upper Gage Ave Hamilton ON L8V 4R5 Canada,23-Nov-20
,Murray Wholesale,401 Grays Rd Hamilton ON L8E 2Z3 Canada,16-Jul-19
,Murray's Farm Butcher Shoppe,182 Ottawa St. N Hamilton Ontario,13-Oct-20
,Murray's Market,186 Ottawa St N Hamilton ON Canada,13-Oct-20
,Mustangs Big Ol' Grill,301 Fruitland Rd Stoney Creek ON L8E 5M1 Canada,23-Jul-20
,My Buddy's Greek Bites,441 Fennell Ave E Hamilton ON L9A 1V2 Canada,01-Oct-20
,My dog's cafe & bar,229 LOCKE ST S HAMILTON ON L8P 4B8 Canada,13-Dec-19
,My Neighbourhood Bar and Cafe,784 (794 ) Concession St Hamilton ON L8V 3R7 Canada,23-Nov-20
,Mystic Golf Club,1707 JERSEYVILLE RD W ANCASTER ON L0R 1R0 Canada,12-Jun-20
,Mystic Ramen,35 York Blvd Hamilton ON L8R 3K7 Canada,28-Aug-20
,Mysweetooth Inc.,301 Main St W Hamilton ON L8P 1J7 Canada,24-Nov-20
,My-Thai Restaurant (Ancaster),42 Wilson St W Ancaster ON L9G 2B4 Canada,08-Feb-21
,MY-THAI STONEY CREEK,826 Queenston Rd Hamilton ON L8G 2B5 Canada,21-Nov-19
,N2N Community Kitchen,310 Limeridge Rd W Hamilton ON L9C 2V2 Canada,02-Dec-20
,Nabils Middle East Food,2-3-1 Wilson St Hamilton ON L8R 1C4 Canada,23-Sep-20
,Nahas Basha Restaurant,610 Upper James St Hamilton ON L9C 2Y8 Canada,12-Dec-18
,Nam Nom Banh Mi,35 York Blvd Hamilton ON Canada,09-Jul-20
,Namu Restaurant & Bar,186 King St W Hamilton ON L9H 1V4 Canada,21-Jan-21
,Nannaa Persian Eatery,1010 King St W Hamilton ON L8S 1L4 Canada,28-Sep-20
,Nano's Peri Peri Chicken,1782 Stone Church Rd. E Stoney Creek ON L8J 2V4 Canada,01-Dec-20
,NANO'S PERI PERI CHICKEN,1782 STONE CHURCH RD.E STONEY CREEK,
,Nara Mediterranean Cuisine,255 Dundas St E Waterdown ON L8B 0E5 Canada,20-Oct-20
,Nardini Specialties,184 Highway No. 8 Stoney Creek ON L8G 1G2 Canada,13-Jan-21
,Narula's Authentic Indian Cuisine,291 Queenston Rd Hamilton ON L8K 1H2 Canada,01-May-20
,Nasim's Fresh Cafe,207 Parkside Drive Waterdown ON L0R 2H1 Canada,12-Mar-20
,National Pizza,3 King St E Hamilton ON L8N 1A1 Canada,10-Dec-20
,National Pizza & Wings,2-870 Upper James St Hamilton ON L9C 3A4 Canada,19-Nov-20
,National Pizza and Wings,4 & 5-134 Ottawa Street North Hamilton ON L8H 3Z3 Canada,01-Feb-21
,National Sports,970 Upper Wentworth St Hamilton ON L9A 4V8 Canada,08-Jul-19
,Nations Food - Eastern Kitchen,2 King St W Hamilton ON L8P 1A2 Canada,02-Dec-20
,Nations Food - Supermarket,445-2 King St W Hamilton ON L8P 1A2 Canada,25-Jan-21
,Nations Food - Western Kitchen,2 King St.W Hamilton ON L8P 1A2 Canada,02-Sep-20
,Naturals,2 King Street West Hamilton ON L8P 1A1,08-Oct-20
,Navy League of Canada,595 Catharine St N Hamilton ON L8L 4V4 Canada,
,Neighbor Shawarma & Subs,12-969 Upper Ottawa St Hamilton ON L8T 4V9 Canada,12-Sep-20
,Neighbor Shawarma and Subs,"Bldg B,-505 Rymal Rd E HAMILTON",03-Dec-20
,Neighbour to Neighbour Centre,28 Athens St Hamilton ON L9C 3K9 Canada,03-Dec-20
,Nellie James,144 KING ST W DUNDAS ON L9H 1V2 Canada,21-Nov-18
,Nesspresso Kiosk,999 Upper Wentworth Str. Hamilton ON,27-Feb-20
,New Village Retirement,490 Highway No. 8 Stoney Creek ON L8G 1G6 Canada,22-Oct-20
,New York Fries,F109-999 Upper Wentworth St Hamilton ON L9A 4X5 Canada,08-Jul-20
,New York Fries,Eastgate S-75 Centennial Pkwy N Hamilton ON L8E 2P2 Canada,11-Dec-20
,New York Fries,2 King St W Hamilton ON L8P 1A1 Canada,22-Jul-20
,New York News,147-2 King St W Hamilton - Downtown (Centre) ON L8P 1A1 Canada,06-Feb-20
